[2020-10-20 15:03:32+00:00; jrguzzofatos; @MarcosPorfriod1 😊😊😊😊😊; 0; 0; 1; 0; https://twitter.com/jrguzzofatos/status/1318568539113070592; None; None] 
[2020-10-20 15:03:05+00:00; jrguzzofatos; @JamesNarducci Isso.; 0; 0; 1; 0; https://twitter.com/jrguzzofatos/status/1318568425778761735; None; None] 
[2020-10-20 15:02:23+00:00; jrguzzofatos; @BeolchiLuis 👏👏👏; 0; 0; 12; 0; https://twitter.com/jrguzzofatos/status/1318568250960236548; None; None] 
[2020-10-20 15:01:39+00:00; jrguzzofatos; @jedsondelima 🤙🤙🤙; 0; 0; 1; 0; https://twitter.com/jrguzzofatos/status/1318568064791810049; None; None] 
[2020-10-20 15:01:20+00:00; jrguzzofatos; @re_hemai 🤔🤔🤔🤔🤔🤔🤔; 0; 0; 2; 0; https://twitter.com/jrguzzofatos/status/1318567987683753984; None; None] 
[2020-10-20 14:58:38+00:00; jrguzzofatos; O senador de Roraima flagrado com dinheiro na cueca pediu afastamento temporário — seu caso pegou mal até mesmo no Senado, uma das piores cavernas de ladrões do planeta. Foi substituído pelo próprio filho, que é o seu “suplente”. Depois querem que se leve a sério a “política”.; 403; 3062; 14433; 184; https://twitter.com/jrguzzofatos/status/1318567308374233089; None; None] 
[2020-10-19 18:05:50+00:00; jrguzzofatos; A revista OESTE saiu hoje do ar por causa de um ataque de “hackers”. Hackers ? Pois é: são os mais recentes aliados do Twitter, Face Book, Google, Amazon, os departamentos de marketing das multinacionais, etc. etc. na  “resistência à “direita” — e a opiniões diferentes das suas.; 115; 1907; 8550; 44; https://twitter.com/jrguzzofatos/status/1318252031589666817; None; None] 
[2020-10-18 20:23:55+00:00; jrguzzofatos; O sistema de Justiça que existe hoje no Brasil tornou-se simplesmente incompreensível para os cidadãos; faz sentido para congressistas, a OAB e o STF, e para ninguém mais. É um convite permanente ao desastre https://t.co/5xxX4wDHah; 90; 928; 4514; 33; https://twitter.com/jrguzzofatos/status/1317924391955492864; None; None] 
[2020-10-16 23:39:14+00:00; jrguzzofatos; Não é que as instituições estejam funcionando mal, ou passando por alguma anomalia — ao contrário, elas são organizadas de maneira a tornar inevitáveis resultados como o que beneficiou André do Rap https://t.co/h2uNlfnWFx; 149; 1155; 6108; 52; https://twitter.com/jrguzzofatos/status/1317248770292256769; None; None] 
[2020-10-12 22:56:21+00:00; jrguzzofatos; O Brasil deve ser o único país do mundo em que existe uma “bancada da bala” — e, ao  tempo, o Congresso aprova leis de proteção aos criminosos. Deve ser o único, também, em que um “Pacote Anticrime” tem um artigo escrito com o único propósito de colocar bandidos em liberdade.; 435; 2740; 14047; 167; https://twitter.com/jrguzzofatos/status/1315788423756746753; None; None] 
