[2020-05-05 22:59:26+00:00; JesseSouzaecht; Final digno de filme noir: Moro e o mito, os dois maiores escroques da história recente do país, em duelo de morte com arma branca. Morre só um? Morrem os dois? Suspense digno de Hitchcock!; 149; 822; 5861; 46; https://twitter.com/JesseSouzaecht/status/1257807143757119488; None; None]
[2020-05-02 11:44:32+00:00; JesseSouzaecht; Resumo da entrevista de Abílio Diniz para a veja: o que importa é o Guedes acabar com a constituição e liberar o saque do orçamento público para à elite. Bolsonaro é só o palhaço para o circo popular. Está elite não é só atrasada, ela é criminosa!; 159; 2879; 12664; 119; https://twitter.com/JesseSouzaecht/status/1256550136790110208; None; None]
[2020-04-24 17:39:30+00:00; JesseSouzaecht; Amigos, não percam e compartilhem! https://t.co/scjf5xvdRS; 18; 71; 396; 7; https://twitter.com/JesseSouzaecht/status/1253740364806197253; None; None]
[2020-04-14 16:35:14+00:00; JesseSouzaecht; Como sempre digo, o banco central é a boca de fumo da verdadeira corrupção. São trilhões para meia dúzia de especuladores retirados do bolso de um povo explorado e jogado à catástrofe. Por que não chamamos isso de roubo e o ministro que assina de ladrão?; 29; 731; 2177; 29; https://twitter.com/JesseSouzaecht/status/1250100308971225088; None; None]
[2020-04-09 14:59:49+00:00; JesseSouzaecht; O FuraBolha 3 • 09/04/2020 - YouTube https://t.co/4dDu35sPpX; 2; 10; 40; 0; https://twitter.com/JesseSouzaecht/status/1248264358976794626; None; None]
[2020-04-09 08:32:18+00:00; JesseSouzaecht; Não percam hoje live e debate no Instagram e no YouTube https://t.co/Hy4T7HCNDv; 14; 50; 306; 2; https://twitter.com/JesseSouzaecht/status/1248166838904786944; None; None]
[2020-04-08 20:57:33+00:00; JesseSouzaecht; Amanhã! https://t.co/lepO56P36U; 3; 33; 184; 3; https://twitter.com/JesseSouzaecht/status/1247991997723553792; None; None]
[2020-04-08 20:51:03+00:00; JesseSouzaecht; Não percam amanhã pessoal! https://t.co/qoDmFq90cQ; 4; 32; 196; 1; https://twitter.com/JesseSouzaecht/status/1247990361353596931; None; None]
[2020-04-02 14:40:52+00:00; JesseSouzaecht; Pessoal daqui a pouco o “furabolha” começa. Não percam o programa. Segue o link: https://t.co/bmhPzsNnXE; 1; 33; 93; 0; https://twitter.com/JesseSouzaecht/status/1245722876126339073; None; None]
[2020-03-26 21:09:14+00:00; JesseSouzaecht; Se o que o  @BlogdoNoblat disse for verdade, Bolsonaro está envolvido em negociatas criminosas enviando ventiladores pulmonares para a Itália ,  no instante que os brasileiros mais precisam! O Brasil está ficando a cada dia mais surreal. Até quando?; 52; 651; 3030; 22; https://twitter.com/JesseSouzaecht/status/1243283896357265408; None; None]
[2020-03-26 14:06:13+00:00; JesseSouzaecht; Daqui a pouco a estreia de nosso programa “furabolhas”com Florestan Fernandes, Eduardo Moreira, Fábio Pannuzio, Carla Jimenes e eu! https://t.co/GwQL5YtxPZ; 23; 68; 374; 4; https://twitter.com/JesseSouzaecht/status/1243177438663839744; None; None]
[2020-03-26 14:03:23+00:00; JesseSouzaecht; Amigos, não percam hoje a estreia do programa! https://t.co/NSM8WcgF1F; 5; 35; 144; 1; https://twitter.com/JesseSouzaecht/status/1243176728979218432; None; None]
