[2020-05-07 21:32:46+00:00; renansantosmbl; Hoje foi arroz de pato. Foda demais!; https://www.instagram.com/p/B_5uAORnD4U/; 692; 37]
[2020-05-06 20:39:16+00:00; renansantosmbl; Algumas das minhas obras como cozinheiro de quarentena. Baixo custo, alto desempenho. Ando gastando 70% a menos doq costumo gastar com comida, e como mto melhor. São coisas que a gente esquece.; https://www.instagram.com/p/B_3DFbcni9Z/; 1014; 86]
[2020-05-03 15:05:05+00:00; renansantosmbl; Amigos, vamos criar a resistência contra Bolsonaro, e estamos te convocando. Venha para nossos, lace o gado, derrube fake news e participe das missões!; https://www.instagram.com/p/B_uudRcHOIY/; 445; 99]
[2020-05-03 03:41:12+00:00; renansantosmbl; Respondi um blog picareta ligado ao partido do Bolsonero que tenta tirar frase minha de contexto.; https://www.instagram.com/p/B_tgBmcHjKs/; 991; 243]
[2020-05-01 06:03:58+00:00; renansantosmbl; Zema falou tudo.; https://www.instagram.com/p/B_om7WznE0r/; 544; 112]
[2020-04-30 00:55:00+00:00; renansantosmbl; Eu quero impeachment e cadeia pra esse Jumento.; https://www.instagram.com/p/B_leyWqnCf7/; 1446; 233]
[2020-04-26 05:55:11+00:00; renansantosmbl; Boa noite.; https://www.instagram.com/p/B_bt9jeHDBw/; 1217; 242]
[2020-04-26 02:32:43+00:00; renansantosmbl; Tava ótimo? Tava. Agora deixamos foda: Danilo entrevistando Mandetta. De graça.  Ser hater do MBL deve ser uma merda...; https://www.instagram.com/p/B_bWykBn9l1/; 1735; 159]
[2020-04-25 21:58:33+00:00; renansantosmbl; Amanhã, DE GRAÇA PRA VOCÊS! Confira a programação no segundo card. O que acharam do time?; https://www.instagram.com/p/B_a3al5nNvL/; 1638; 58]
[2020-04-25 03:30:43+00:00; renansantosmbl; Ok, parei. By @bad.vibes.memes; https://www.instagram.com/p/B_Y4oi9HjWt/; 738; 25]
[2020-04-24 19:30:22+00:00; renansantosmbl; Cabô; https://www.instagram.com/p/B_YBov4nrE4/; 1133; 128]
[2020-04-24 19:06:15+00:00; renansantosmbl; Enough said; https://www.instagram.com/p/B_X-5p3nM8x/; 877; 37]
[2020-04-24 17:06:14+00:00; renansantosmbl; Canalhas.; https://www.instagram.com/p/B_XxIpTH8XX/; 1173; 166]
[2020-04-24 03:37:37+00:00; renansantosmbl; Congresso on-line e gratuito no canal do MBL. Quem vem?; https://www.instagram.com/p/B_WUoNIncqe/; 980; 78]
[2020-04-23 14:53:59+00:00; renansantosmbl; Hoje temos meu mestre @fala_borges . Será fantástico - e novamente às 22h!; https://www.instagram.com/p/B_U9PKFHf4c/; 331; 22]
[2020-04-22 14:34:55+00:00; renansantosmbl; Hoje tem @andreazzaeditor aqui na live! Se liga, é as 22!!!! Será foda! Aguardo vocês!; https://www.instagram.com/p/B_SWQq5nmrc/; 481; 52]
[2020-04-21 20:58:03+00:00; renansantosmbl; É hoje! Preparem a pipoca! E amanhã tem @andreazzaeditor !; https://www.instagram.com/p/B_QdT50nxnT/; 454; 25]
[2020-04-20 00:00:41+00:00; renansantosmbl; Recado pra quem é gado e acha que aqui é espaço pra passar pano.; https://www.instagram.com/p/B_LojwZHEDK/; 1305; 265]
[2020-04-19 18:04:53+00:00; renansantosmbl; Esse é o vídeo inteiro que Eduardo Bolsonaro se escusou a mostrar em seu corte malicioso nas redes. Quer prejudicar as forças policiais agora, Bananinha?; https://www.instagram.com/p/B_K-e3NHTqx/; 1249; 234]
[2020-04-17 20:44:30+00:00; renansantosmbl; Hoje tem mais bate papo aprofundando a crise política aqui no meu insta. Aguardo vocês!!; https://www.instagram.com/p/B_GIlMOHIls/; 352; 18]
[2020-04-16 16:30:17+00:00; renansantosmbl; Pessoal, o bate papo hoje é com uma das mentes mais brilhantes desse país. Professor de literatura comparada na UERJ , João Cézar de Castro Rocha coordena as coleções sobre Rene Girard, Merquior e Mário Ferreira dos Santos na É Realizações. Será MUITO proveitoso!; https://www.instagram.com/p/B_DGsWKnLj4/; 406; 50]
[2020-04-15 15:21:19+00:00; renansantosmbl; Aí galera, hoje à noite aqui no nosso humilde insta!; https://www.instagram.com/p/B_AaAUkHruN/; 1527; 74]
[2020-04-14 04:02:56+00:00; renansantosmbl; Terça às 23 por aqui.; https://www.instagram.com/p/B-8nk2DneS3/; 1430; 251]
[2020-04-03 03:08:38+00:00; renansantosmbl; E lá vamos nós.... aos poucos se adaptando a essa quarentena maldita. Já tenho até meu cenário pra vídeos... a escrivaninha do ódio.; https://www.instagram.com/p/B-gMnlsHwlg/; 540; 30]
[2020-03-31 00:14:12+00:00; renansantosmbl; “HOLE” (buraco) family, ao invés de WHOLE FAMILY. Esse é o nível do rapaz que quase conseguiu ser embaixador do Brasil nos EUA. Jair lutou: ofereceu bilhões em emendas ao Senado, mas a opinião pública não permitiu. A cada dia, um exemplo novo demonstrando que elegemos uma família de ignorantes pretensiosos — gente despreparada que, assombrada com o peso do poder, só sabe distribuir coices e pontapés. Eduardo é burro. Limitado. Limítrofe. Sonso. Dissimulado. Falso. Ele e sua família são um problema terrível que temos que lidar.; https://www.instagram.com/p/B-YKRYAHJEv/; 853; 112]
[2020-03-30 03:36:45+00:00; renansantosmbl; “Será que coronguei?”; https://www.instagram.com/p/B-V8p_bntqs/; 879; 55]
[2020-03-28 04:26:58+00:00; renansantosmbl; 🌚 @bad.vibes.memes; https://www.instagram.com/p/B-Q40ByHdZb/; 573; 35]
[2020-03-20 02:46:48+00:00; renansantosmbl; Se eu morrer de Corona, essa foto pode ser utilizada com uma frase motivacional (em helvética) e tons de sépia em memes internos do MBL. Foto de @alexandrehfs 📸; https://www.instagram.com/p/B98G_Zzn7KX/; 1145; 68]
[2020-03-10 04:25:21+00:00; renansantosmbl; Tempos sombrios se aproximam. É pra se preocupar? É. Ao fim, além da década perdida, minha geração toda está sendo inviabilizada por delírios de grandeza da extrema-esquerda e da extrema-direita. Todos filhos da puta. Vamo ver no que vai dar.  Click de @cauedelvalle; https://www.instagram.com/p/B9iiUaSnnjM/; 823; 22]
[2020-03-08 22:24:19+00:00; renansantosmbl; Sobre o caso Suzy; https://www.instagram.com/p/B9fUNRrnl95/; 1047; 36]
[2020-03-07 19:26:48+00:00; renansantosmbl; Congresso em São José dos Campos do @thomazhenriquesjc ! Fofinhos do @cauedelvalle junto com a rebelde @musamiranda .; https://www.instagram.com/p/B9cbGLxnYGP/; 801; 11]
[2020-03-05 13:46:50+00:00; renansantosmbl; Time do boxe aumentando! Falta o @f.holiday , nosso Joe Frazier liberal. O @arthurmoledoval que se prepare com seus jiujiuteros.; https://www.instagram.com/p/B9Wqmbjn2ep/; 912; 29]
[2020-03-05 02:03:55+00:00; renansantosmbl; Na boa, eu to emocionado de verdade. Esse rato merece mto tudo isso. E outra: alguém com vestes tão formais só poderia se apresentar num local como esse. Parabéns pro @jeanfranco pela captação!; https://www.instagram.com/p/B9VZ_EFHX_b/; 1095; 52]
[2020-02-29 00:14:35+00:00; renansantosmbl; Esse rato é bom pra caralho... pqp... obrigado @gutozacariasmbl; https://www.instagram.com/p/B9IVo2VnAav/; 1581; 90]
