2020-12-08 01:55:51+00:00; marcosmion; Muito agradecido! Belo boné azul... #ProvaDeFogo #AFazenda12 https://t.co/8aRHnStNCc; 230; 12; 3; 1; https://twitter.com/marcosmion/status/1336127318817955842; None; https://twitter.com/brucbraga/status/1336125885636878338
2020-12-08 01:49:38+00:00; marcosmion; Tá autorizado jogar o fósforo no feno pq... CHEGAMOS!! 👊🏼🔥#ProvaDeFogo #AFazenda12; 1057; 61; 13; 2; https://twitter.com/marcosmion/status/1336125753361051648; None; None
2020-12-08 01:43:19+00:00; marcosmion; Prontos pra última Prova de Fogo da temporada??? A mão que segura o microfone chega a tremer! 😆 Já vai esquentando o tubo da TV que tá pra começar... #ProvaDeFogo #AFazenda12; 1355; 93; 10; 4; https://twitter.com/marcosmion/status/1336124165540208643; None; None
2020-12-07 23:47:25+00:00; marcosmion; Quem puder investir um minuto pra votar em mim na premiação para melhor apresentador do ano, a família agradece! Link tá aqui embaixo!🙏🏼🤍   https://t.co/pOJ44OsDir; 3497; 1005; 142; 202; https://twitter.com/marcosmion/status/1336094995858776065; None; None
2020-12-07 23:34:23+00:00; marcosmion; Só se for com outro apresentador pq me deram folga hoje!😂 https://t.co/PYjiJWyumy; 7272; 654; 238; 448; https://twitter.com/marcosmion/status/1336091719503392768; None; https://twitter.com/jojotodynhoofc/status/1335998080127217664
2020-12-07 13:51:44+00:00; marcosmion; https://t.co/stFhrdCGzd; 753; 100; 19; 3; https://twitter.com/marcosmion/status/1335945090364223488; None; None
2020-12-07 02:42:24+00:00; marcosmion; 👊🏼👊🏼👊🏼 https://t.co/4CLsMfwvkn; 714; 98; 13; 5; https://twitter.com/marcosmion/status/1335776644771045383; None; https://twitter.com/Ale_Piagentini_/status/1335776122706030595
2020-12-07 02:34:34+00:00; marcosmion; Hahaha o Diogo tá valendo o cachê! #AFazenda12 https://t.co/sqCFKnSYnd; 829; 52; 22; 4; https://twitter.com/marcosmion/status/1335774672953233410; None; https://twitter.com/Majuh96472525/status/1335773831751987200
2020-12-07 02:22:47+00:00; marcosmion; Se eu fosse colocar todas as cenas que eu gostaria nesse “Vale a Pena” daria uma trilogia O Peão dos Anéis! 😂 #AFazenda12 https://t.co/RKO1r3xY7p; 455; 26; 7; 2; https://twitter.com/marcosmion/status/1335771708607918082; None; https://twitter.com/kcmdsf/status/1335770397481050112
2020-12-07 02:18:41+00:00; marcosmion; Tamo no ar... ou melhor, chegamos! 👊🏼 #AFazenda12; 873; 50; 6; 5; https://twitter.com/marcosmion/status/1335770678239358976; None; None
2020-12-07 02:13:08+00:00; marcosmion; Hoje teve a última Prova de Fogo, sexta tem festa especial com todos os participantes... é o cheirinho da reta final! Então bora curtir o penúltimo domingo de Fazendola que começa logo mais!! #AFazenda12; 7204; 433; 191; 335; https://twitter.com/marcosmion/status/1335769280957325313; None; None
2020-12-06 21:52:52+00:00; marcosmion; @chicobarney 😂😂😂😂😂😂😂😂😂; 94; 8; 0; 0; https://twitter.com/marcosmion/status/1335703781078671360; None; None
2020-12-06 19:02:03+00:00; marcosmion; To tentando colocar um elemento novo por dia!😂 https://t.co/l7TzClc0RE; 2263; 275; 46; 18; https://twitter.com/marcosmion/status/1335660792646131720; None; https://twitter.com/luccaszou/status/1335641133725216770
2020-12-06 19:01:28+00:00; marcosmion; Confesso que vesti a Jersey do Lebron quando acabou a gravação! https://t.co/vsRnZDiPPA; 222; 10; 5; 0; https://twitter.com/marcosmion/status/1335660649393872897; None; https://twitter.com/wbpictures_br/status/1335650396417654785
2020-12-06 18:51:00+00:00; marcosmion; Pra qm quiser acompanhar o painel da @wbpictures_br na @CCXPoficial é só entrar aqui e se cadastrar! Ihiii. https://t.co/n0TjANcVyJ; 128; 6; 3; 1; https://twitter.com/marcosmion/status/1335658015350026249; None; None
2020-12-06 18:44:26+00:00; marcosmion; OMG! Em primeira mão: o uniforme oficial do @KingJames pro novo #SpaceJamONovoLegado! @CCXPoficial @wbpictures_br https://t.co/PBgP7ZveNS; 571; 18; 32; 13; https://twitter.com/marcosmion/status/1335656362387312641; None; None
2020-12-06 18:39:48+00:00; marcosmion; 😂😂😂 https://t.co/Hjdxvdyafv; 271; 4; 10; 0; https://twitter.com/marcosmion/status/1335655195330695169; None; https://twitter.com/CCXPoficial/status/1335651361166340098
2020-12-06 18:25:11+00:00; marcosmion; Começando agora o painel da @wbpictures_br na @CCXPoficial ! Vem ver o que eu tô mostrando aqui. Vcs não tem ideeeeia 😍 https://t.co/OFH66nOyIC; 188; 9; 5; 2; https://twitter.com/marcosmion/status/1335651516938653697; None; None
2020-12-06 16:40:10+00:00; marcosmion; Uma semana na Fazenda equivale a 18 dias e eu posso provar... Pega um ar e dá o play no resumola da semanola! https://t.co/woX69ybyUE; 579; 40; 13; 3; https://twitter.com/marcosmion/status/1335625090101293057; None; None
2020-12-06 02:23:10+00:00; marcosmion; Nunca decepciona! 😂 #FestaAFazenda #AFazenda12 https://t.co/xRwA4yGhku; 491; 125; 6; 3; https://twitter.com/marcosmion/status/1335409419241263106; None; https://twitter.com/ttdoMarko/status/1335409095273230340
2020-12-06 02:16:47+00:00; marcosmion; Pós festa em 3...2...1! #FestaAFazenda #AFazenda12; 975; 120; 13; 6; https://twitter.com/marcosmion/status/1335407810054656002; None; None
2020-12-06 02:12:42+00:00; marcosmion; 👊🏼❤️ https://t.co/a5tPLaLIWs; 224; 28; 5; 3; https://twitter.com/marcosmion/status/1335406785457496066; None; https://twitter.com/CrisFortes11/status/1335404995743723521
2020-12-06 01:45:30+00:00; marcosmion; Opa, perdão! HM HM... Chegaaaamosss!!! 👊🏼 #FestaAFazenda #AFazenda12 https://t.co/23NkfoRjUY; 214; 19; 2; 4; https://twitter.com/marcosmion/status/1335399940361695232; None; https://twitter.com/walleryah/status/1335399171348701186
2020-12-06 01:43:44+00:00; marcosmion; Ô se podia! Ouvi dizer que o conteúdo tá bom por lá também... 😆 #FestaAFazenda #AFazenda12 https://t.co/tc7u3MHwBy; 1745; 140; 33; 18; https://twitter.com/marcosmion/status/1335399493295071233; None; https://twitter.com/Enquetes_AF12/status/1335398877151834113
2020-12-06 01:42:47+00:00; marcosmion; E aí, é chare ou cherry? 🤣 #FestaAFazenda #AFazenda12; 116; 18; 5; 5; https://twitter.com/marcosmion/status/1335399252978257923; None; None
2020-12-06 01:39:45+00:00; marcosmion; Chegamos no dia de ver festa na Fazendola... ou melhor, o tão esperado pós festa! 😂 #FestaAFazenda #AFazenda12; 1336; 181; 13; 9; https://twitter.com/marcosmion/status/1335398491682693120; None; None
2020-12-05 20:21:56+00:00; marcosmion; @Diegho_Campos @mauriciostycer @Splash_UOL @UOL 😂😂😂😂😂😂; 60; 4; 1; 0; https://twitter.com/marcosmion/status/1335318512085180418; None; None
2020-12-05 20:21:09+00:00; marcosmion; @objetosjrpg @mauriciostycer @Splash_UOL @UOL Amei esse comentário!🤍; 75; 2; 0; 0; https://twitter.com/marcosmion/status/1335318311882665989; None; None
2020-12-05 20:18:56+00:00; marcosmion; ...não ficar feliz com o reconhecimento! E com os comentários!🙂 Obriagdo @mauriciostycer 🙌🏼; 601; 70; 6; 4; https://twitter.com/marcosmion/status/1335317757211107331; None; None
2020-12-05 20:18:56+00:00; marcosmion; Caramba...eu fico muito lisonjeado com uma matéria dessas vindo de, provavelmente, o nome mais sólido da crítica da tv brasileira dos últimos anos. Independente da minha felicidade enorme à frente da Fazenda e por estar na Record, não tem como ... https://t.co/g1iJAp7tOy; 1255; 215; 23; 9; https://twitter.com/marcosmion/status/1335317755625615360; None; https://twitter.com/mauriciostycer/status/1335265498343370757
2020-12-05 17:23:17+00:00; marcosmion; A citação da semana foi do grande mestre dos reality shows! Pedro, o Bial! Separamos os trechos originais pra costurarmos com meu discurso na Fazenda. Olha o resultado: https://t.co/yqX07CMPjp; 2747; 371; 113; 48; https://twitter.com/marcosmion/status/1335273549582503936; None; None
2020-12-05 02:30:21+00:00; marcosmion; Em qual lugar o seu Peão favorito desde o primeiro dia está nesse momento? #FestaAFazenda #AFazenda12; 757; 640; 64; 65; https://twitter.com/marcosmion/status/1335048836088270848; None; None
2020-12-05 01:58:37+00:00; marcosmion; Quem será que vai ser a estrela do pós festa dessa semana, hein? Façam as suas apostas e justifiquem! #FestaAFazenda #AFazenda12; 1676; 557; 15; 23; https://twitter.com/marcosmion/status/1335040850548678656; None; None
2020-12-05 01:55:27+00:00; marcosmion; Parece que vc nunca esteve em Itapecerica, cidade conhecida pela frente fria surpresa! Tem que estar sempre preparado... 😂 #FestaAFazenda #AFazenda12 https://t.co/L7vK9XdXv9; 332; 40; 9; 0; https://twitter.com/marcosmion/status/1335040056004907008; None; https://twitter.com/CoutrinVictor/status/1335039481980870656
2020-12-05 01:46:20+00:00; marcosmion; Tamo no aaaar! 👊🏼 #FestaAFazenda #AFazenda12; 730; 99; 11; 11; https://twitter.com/marcosmion/status/1335037760172912648; None; None
2020-12-05 01:40:49+00:00; marcosmion; Já, já tem festa Share na Fazendola com participações mais do que especiais de @Naiarazevedo, @ThaemeeThiago e @tierryoficial ! E claro que tem uma olhada no que tá rolando, ao vivo! #FestaAFazenda #AFazenda12; 392; 38; 5; 6; https://twitter.com/marcosmion/status/1335036370868457475; None; None
2020-12-04 06:20:25+00:00; marcosmion; Hahahahahhaha! Meu Deus!! É a frase que mais falei de fato!!!😂🤷🏻‍♂️ https://t.co/629nisrX4a; 473; 64; 1; 1; https://twitter.com/marcosmion/status/1334744345912766464; None; https://twitter.com/dehribeiro1/status/1334715215653588993
2020-12-04 04:14:55+00:00; marcosmion; @RickSouza Já está a caminho! 😂😂; 49; 2; 0; 1; https://twitter.com/marcosmion/status/1334712766322585600; None; None
2020-12-04 04:14:42+00:00; marcosmion; O museu tá crescendo!! Quem já achou o doce de leite da Luísa Ambiel?! https://t.co/X4vkGUmajM; 955; 119; 14; 5; https://twitter.com/marcosmion/status/1334712709829554178; None; https://twitter.com/HugoGloss/status/1334680463512899586
2020-12-04 04:13:54+00:00; marcosmion; Eu quero o título de cidadão itapecerico!! 😄💪🏼 https://t.co/qs0z467ca8; 381; 21; 2; 2; https://twitter.com/marcosmion/status/1334712509023006721; None; https://twitter.com/Alessandrolb/status/1334693645103063041
2020-12-04 03:35:40+00:00; marcosmion; 💥💥💥 https://t.co/HKH1ZqRYyS; 652; 124; 3; 5; https://twitter.com/marcosmion/status/1334702886031220738; None; https://twitter.com/RickSouza/status/1334700086547378177
2020-12-04 03:18:29+00:00; marcosmion; E a Jake foi a vítima da Eliminight com apenas 27,20%! O jogo segue e logo mais tem cabine de descompressão no @playplus... Mandem aqui as suas perguntas!! #EliminaçãoAFazenda #AFazenda12; 3670; 863; 42; 38; https://twitter.com/marcosmion/status/1334698562861600768; None; None
2020-12-04 03:08:37+00:00; marcosmion; Samplers é ótimo 😂 deu trabalho pra fazer! #EliminaçãoAFazenda #AFazenda12 https://t.co/lAeNIQarvV; 1532; 129; 13; 1; https://twitter.com/marcosmion/status/1334696081087737856; None; https://twitter.com/chicobarney/status/1334694001585360897
2020-12-04 03:05:56+00:00; marcosmion; @biel ou @iamjakelyne ? Marque o @ de quem vc acha que deixa a Fazendola hoje! #EliminaçãoAFazenda #AFazenda12; 374; 489; 2; 10; https://twitter.com/marcosmion/status/1334695405561507841; None; None
2020-12-04 02:51:35+00:00; marcosmion; Ao vivo no Innnstagramola! Chega mais...; 1060; 112; 6; 5; https://twitter.com/marcosmion/status/1334691793674366979; None; None
2020-12-04 02:46:08+00:00; marcosmion; Bigodin pretin, cabelin na régua... #EliminaçãoAFazenda #AFazenda12 https://t.co/lAb7xBf3m2; 571; 47; 3; 2; https://twitter.com/marcosmion/status/1334690419570040833; None; https://twitter.com/HFilippo/status/1334676340142989313
2020-12-04 02:36:05+00:00; marcosmion; E aí, o que acharam das respostas dos roceiros??? Pelo menos não teve sabonetada! 🧼#EliminaçãoAFazenda #AFazenda12; 2453; 525; 19; 26; https://twitter.com/marcosmion/status/1334687891033874433; None; None
2020-12-04 01:56:25+00:00; marcosmion; Aos poucos a gente vai adicionando os ícones de #AFazenda12 😂 Qual vcs acham que ainda tá faltando?? #EliminaçãoAFazenda https://t.co/kIdQRPWb4P; 454; 234; 4; 7; https://twitter.com/marcosmion/status/1334677909999652869; None; https://twitter.com/viviannefacundo/status/1334677192329097223
2020-12-04 01:55:39+00:00; marcosmion; Quem vai descobrir o novo Easter Egg que coloquei no meu cenário hoje?? #Eliminaçãoafazenda; 781; 150; 4; 7; https://twitter.com/marcosmion/status/1334677716965203968; None; None
2020-12-04 01:49:00+00:00; marcosmion; Chegamooos! 👊🏼 #EliminaçãoAFazenda #AFazenda12; 1003; 112; 9; 14; https://twitter.com/marcosmion/status/1334676044486504449; None; None
2020-12-04 01:37:26+00:00; marcosmion; Eliminight se aproximando a cada minuto! Marque aqui o @ do Peão que vc acha que vai estar na cabine de descompressão do @SigaPlayPlus: @Biel, @iamjakelyne  ou @jojotodynhoofc ? E já vai pensando nas perguntas!!#EliminaçãoAFazenda #AFazenda12; 1718; 773; 15; 36; https://twitter.com/marcosmion/status/1334673134159613952; None; None
2020-12-03 17:58:25+00:00; marcosmion; Foi aqui que pediram Vale a Pena Ver Direito da Fazenda 12?! https://t.co/weKw4Nzbu5; 7422; 583; 127; 208; https://twitter.com/marcosmion/status/1334557617813942273; None; None
2020-12-03 03:16:45+00:00; marcosmion; Lidi Fazendeira com direito a musiquinha do meme do caixão 😂 Mas quem tá na reta da porteira mesmo são os Peões que estão na Eliminight de amanhã... E aí, quem vc quer que saia da Fazendola??? #ProvaDoFazendeiro #AFazenda12; 3461; 1661; 270; 156; https://twitter.com/marcosmion/status/1334335736586383360; None; None
2020-12-03 03:00:02+00:00; marcosmion; Ao vivo no instagramooola! VEM!; 1545; 152; 8; 5; https://twitter.com/marcosmion/status/1334331533709205505; None; None
2020-12-03 02:35:12+00:00; marcosmion; Hahaha 😂 achei até que tinha ligado minha câmera frontal... #ProvaDoFazendeiro #AFazenda12 https://t.co/bpTVxE8gwN; 222; 24; 1; 0; https://twitter.com/marcosmion/status/1334325284242214912; None; https://twitter.com/calistro_raissa/status/1334324912043986949
2020-12-03 02:30:25+00:00; marcosmion; POOOONTO pra vc! Mas na verdade foi um desafio da Doninha. Ela me olhou no fundo dos olhos e disse: duvido vc apresentar o programa hoje usando o meu scrunchie... bom, vocês já sabem quem ganhou o desafio hahaha 😂 DADDY WINS! #ProvaDoFazendeiro #AFazenda12 https://t.co/htL5Fhm0X3; 730; 27; 6; 5; https://twitter.com/marcosmion/status/1334324078069559307; None; https://twitter.com/alisedudani/status/1334322768712699906
2020-12-03 02:15:48+00:00; marcosmion; Obrigado! E vc ficou ótima com essa brusinha colorida, valorizou muito... a cara da primavera! #ProvaDoFazendeiro #AFazenda12 https://t.co/REywU0hOq0; 349; 40; 3; 0; https://twitter.com/marcosmion/status/1334320399652446209; None; https://twitter.com/PratesZuin/status/1334319395129135105
2020-12-03 02:06:44+00:00; marcosmion; PARABÉNS! você achou o objeto escondido da cabana e vai ganhar... o carinho do nosso auditório, OE! Clap, clap, clap 👏🏼😂 #ProvaDoFazendeiro #AFazenda12 https://t.co/ovd3ONSRlU; 995; 63; 15; 5; https://twitter.com/marcosmion/status/1334318117078638592; None; https://twitter.com/viviannefacundo/status/1334317029663399937
2020-12-03 02:01:40+00:00; marcosmion; Cuidadosamente estudado, cada vírgula pensada para o deleite do telespectador rural! #ProvaDoFazendeiro #AFazenda12 https://t.co/YKJSRs552D; 278; 29; 7; 1; https://twitter.com/marcosmion/status/1334316843327217666; None; https://twitter.com/Pamela82691215/status/1334315037549326336
2020-12-03 01:53:54+00:00; marcosmion; Chegamos na estilera, ó! 👊🏼 #ProvaDoFazendeiro #AFazenda12 https://t.co/a1Q9gi4fKX; 434; 36; 4; 3; https://twitter.com/marcosmion/status/1334314887548428290; None; https://twitter.com/HFilippo/status/1334313008089141249
2020-12-03 01:50:26+00:00; marcosmion; Piscou passou um spoiler da #ProvaDoFazendeiro de hoje! https://t.co/b1DV8B517D; 1186; 198; 36; 111; https://twitter.com/marcosmion/status/1334314016206966785; None; None
2020-12-02 21:42:19+00:00; marcosmion; @lupeboyx Tá em ordem alfabética 🙂; 1145; 115; 5; 50; https://twitter.com/marcosmion/status/1334251574466646017; None; None
2020-12-02 21:40:47+00:00; marcosmion; Saiu minha retrospectiva, galera! 🔝 https://t.co/fi7LCjZ6rW; 4690; 688; 81; 82; https://twitter.com/marcosmion/status/1334251187831517189; None; None
2020-12-02 03:50:06+00:00; marcosmion; 👊🏼👊🏼👊🏼 https://t.co/c3X3qkEruh; 730; 147; 6; 6; https://twitter.com/marcosmion/status/1333981744425558017; None; https://twitter.com/RickSouza/status/1333977668254101504
2020-12-02 03:20:32+00:00; marcosmion; Poderes foram soltos, banquinhos preenchidos, veto dado, água fechada e que venha a Prova do Fazendeiro amanhã!! Quem vc acha que leva? #RoçaAFazenda #AFazenda12; 2222; 1012; 318; 163; https://twitter.com/marcosmion/status/1333974301427511301; None; None
