[2020-05-29 17:48:25+00:00; profbunazar; Ótimo final de semana a todos. Paz e Bem.; https://www.instagram.com/p/CAx90RnD5xA/; 1124; 35]
[2020-05-23 00:02:06+00:00; profbunazar; Pessoal, amanhã teremos essa maratona de aulas com o objetivo de angariar recursos para o Hospital das Clínicas. A participação e a doação de vocês serão fundamentais!!! Conto com cada um de vocês: https://viralcure.org/detalhes/aulas-do-bem; https://www.instagram.com/p/CAgnBCGDvqP/; 268; 11]
[2020-05-20 20:22:23+00:00; profbunazar; Que nossas famílias possam ser um reflexo, ainda que pálido, da Sagrada Família. Paz e Bem.; https://www.instagram.com/p/CAbESHhjscr/; 614; 23]
[2020-05-15 20:41:31+00:00; profbunazar; Hoje é um dia importante. Completam-se 129 anos da sistematização daquilo que ficou conhecido como doutrina social da Santa Igreja Católica. Paz e bem.; https://www.instagram.com/p/CAOOf12jYn8/; 285; 9]
[2020-05-13 16:41:40+00:00; profbunazar; Em 1938, minha avó, Esmeralda Rocha Bunazar, escreveu essas linhas em comemoração ao dia 13 de maio.; https://www.instagram.com/p/CAIpdX-jbhN/; 1197; 97]
[2020-05-13 16:31:18+00:00; profbunazar; Neste dia de Nossa Senhora de Fátima, quero divulgar a pagina do @casaprovidamaeimaculada . É uma instituição que se dedica a ajudar mulheres que decidiram não abortar. Recomendo a todos os meus seguidores, cristãos ou não, que conheçam o belo trabalho. Salve Maria! Paz e Bem.; https://www.instagram.com/p/CAIoRe9DtTu/; 85; 3]
[2020-05-13 12:37:29+00:00; profbunazar; Será que se pode falar em relativização da propriedade privada? Eu e o @profcaiobartine vamo conversar disso!! Não percam!; https://www.instagram.com/p/CAINg6ejwSF/; 205; 1]
[2020-05-12 20:35:01+00:00; profbunazar; Acabou de chegar!!! :); https://www.instagram.com/p/CAGfXlMjg7R/; 308; 14]
[2020-05-11 14:25:43+00:00; profbunazar; Pessoal, segue um texto simples que o @flavio.tartuce, o @jfsimao e eu escrevemos sobre a importância de haver uma disciplina legal acerca dos contratos de locação em tempos de pandemia. Abraços a todos: https://m.migalhas.com.br/coluna/migalhas-contratuais/326483/da-necessidade-de-uma-norma-emergencial-sobre-locacao-imobiliaria-em-tempos-de-pandemia; https://www.instagram.com/p/CADQT2ujvJT/; 245; 6]
[2020-05-07 22:21:37+00:00; profbunazar; Meu consolo é imaginar Cristo com um chicote nas mãos. Paz e Bem aos por Ele amados.; https://www.instagram.com/p/B_5zl7XjvrU/; 845; 35]
[2020-05-05 23:13:09+00:00; profbunazar; Sexta agora (dia 08), às 18:30, o @marcelo.marineli e eu faremos uma live sobre o que der na telha (só não falaremos de Direito, prometo). Apareçam. Acho que será divertido.; https://www.instagram.com/p/B_0v5s7D-7x/; 676; 61]
[2020-05-05 01:44:44+00:00; profbunazar; Há uns bons anos, este livro foi-me indicado pelo amigo e professor Fernando Araújo, uma das pessoas mais inteligentes e cultas que conheço. A obra é clara, profunda e bela. Aos que gostam de filosofia, recomendo fortemente. Ps. Aos que não gostam, recomendo que comecem a gostar 😂.; https://www.instagram.com/p/B_ycdBUjSh9/; 457; 18]
[2020-05-03 17:20:43+00:00; profbunazar; Hoje, acordei com um debate envolvendo amizade, lealdade e República. Imediatamente recordei-me das lições de Marco Túlio Cícero (106-43 aC) em sua obra De Amicitia (Da amizade). Os clássicos não envelhecem nunca. Ótimo domingo a todos. Paz e Bem.; https://www.instagram.com/p/B_u9-m4jIB3/; 255; 8]
[2020-04-30 23:58:26+00:00; profbunazar; Por alguma dessa razões inexplicáveis, abri o livro, produto de minha dissertação de mestrado na Faculdade de Direito do Largo de São Francisco. O prefácio do @jfsimao é emocionante. Talvez só hoje eu tenha tomado absoluta consciência de tudo que este prefácio significa. Obrigado @jfsimao por sua generosidade. Obrigado por ser parte de mim.; https://www.instagram.com/p/B_n9G9cDvOB/; 483; 39]
[2020-04-28 20:07:09+00:00; profbunazar; Em homenagem ao meu grande amigo, @jfsimao , uma série poética de velharias do meu cotidiano. O velho relógio que foi do meu avô Calixto; a velha caneta que foi do meu pai; as minhas abotoaduras e, finalmente, meu velho exemplar do Machado!; https://www.instagram.com/p/B_iZDORj3eK/; 843; 45]
[2020-04-25 21:46:10+00:00; profbunazar; Uma prova de que já fui jovem, cabeludo e lindo.; https://www.instagram.com/p/B_a1_38jEfe/; 2244; 213]
[2020-04-23 22:37:52+00:00; profbunazar; Amanhã o STF julgará a possibilidade de aborto fora das hipóteses previstas em lei. Sempre com todo respeito, o STF não tem competência para decidir sobre isso. Eu sou radicalmente contrário ao aborto. No entanto, não basta ser contra o aborto, temos de divulgar iniciativas de quem dá apoio às mulheres que decidiram NÃO abortar. A Casa Pro Vida Mãe Imaculada ( @CasaProVidaMaeImaculada) é uma delas. Vamos dizer não ao aborto; mas vamos também acolher as mães e as crianças que precisam de apoio. Paz e Bem.; https://www.instagram.com/p/B_VyUsWjtG8/; 769; 45]
[2020-04-23 14:36:37+00:00; profbunazar; Texto imperdível da @brunaduarteleite . A @simaoebunazaradvogados tem muito orgulho por ter profissionais como a Bruna em seu time!!! Confiram: https://m.migalhas.com.br/coluna/migalhas-contratuais/325202/impactos-do-coronavirus-na-alteracao-e-no-cancelamento-de-passagens-aereas; https://www.instagram.com/p/B_U7QAPjVE-/; 276; 3]
[2020-04-22 16:28:28+00:00; profbunazar; Para quem gosta de estudar filosofia, este livro é uma indicação importante. O autor, declaradamente Tomista, organiza as diversas fases da filosofia e expõe a linha mestra do pensamento dos principais autores. Vale muito a pena ler este livro antes de partir diretamente para a leitura de determinado autor.; https://www.instagram.com/p/B_SjQXKDDi4/; 386; 24]
[2020-04-21 00:29:09+00:00; profbunazar; Esse livro merece ser lido por todos os que lidam com o Direito. O autor traz uma visão totalmente diferente da visão majoritária. Basta dizer que o autor fundamenta-se em Santo Tomás. É uma obra indispensável.; https://www.instagram.com/p/B_OQrKHD9pp/; 624; 27]
[2020-04-20 18:44:57+00:00; profbunazar; Pessoal, peço a ajuda de quem puder. Esse garotinho precisa da gente. Conto com vocês; https://www.instagram.com/p/B_NpSJ0j_p7/; 74; 3]
[2020-04-16 19:07:05+00:00; profbunazar; Para comemorar o aniversário do Papa Emérito Bento XVI, posto aqui algumas de suas muitas obras. Trata-se de um pensador verdadeiro, alguém que certamente figurará ao lado dos grandes Santos pensadores da Igreja. Se eu fosse obrigado a indicar apenas uma de suas obras, indicaria o Introdução ao Cristianismo. Paz e Bem; https://www.instagram.com/p/B_DYoyBjpyI/; 361; 28]
[2020-04-16 15:12:37+00:00; profbunazar; Reputo este livro um dos mais importantes na atualidade. Ele aponta com clareza um dos maiores males da humanidade: o relativismo cultural. A mentira de que todas as culturas têm o mesmo valor; a mentira de que não existe verdade e tantas outras afirmações que, por trás da aparência de tolerância, buscam simplesmente derrubar as estruturas sobre as quais a civilização ocidental se estruturou.  Joseph Ratzinger, para além de Papa Emérito, é um dos maiores pensadores vivos.; https://www.instagram.com/p/B_C9zj4DOcn/; 576; 50]
[2020-04-15 20:23:48+00:00; profbunazar; Que bela obra. #direitoprivado #direitocivil #direitocontratual @ibdcont; https://www.instagram.com/p/B_A8n1DDR01/; 272; 9]
[2020-04-13 19:44:02+00:00; profbunazar; *Brasil e Itália: Juntos Podemos Mais*  A Rotunno, uma empresa de DNA italiano, em conjunto com a We Communication, Opib Ordem e Progresso e 140 Online e outras empresas, associações e cidadãos italianos, se uniu em uma ação em parceria com a prefeitura de Santos para o combate à pandemia COVID-19, que está afetando severamente nossa amada Itália e o Brasil.  Nosso objetivo é arrecadar fundos para equipar os 17 leitos de UTI do hospital Vitória em Santos (hospital de campanha) que será inteiramente destinado ao combate da pandemia.  Contamos com sua doação e convidamos você a conhecer e divulgar essa importante campanha. *Contribua aqui:* https://abacashi.com/p/juntospodemosmaiscovid?fbclid=IwAR18TlAXhAMVha1y14XaBwOu8ejW3j-btVwijYn0LkwGvHLybVTbTaIibR0 *Conheça mais sobre o projeto:* https://www.facebook.com/juntospodemosmaiscovid/ @gabivrotunno , @rotunnocidadania; https://www.instagram.com/p/B-7ue2ejU2-/; 153; 4]
[2020-04-09 16:39:19+00:00; profbunazar; Boa tarde, pessoal. A live será hoje, às 19:30, pelo insta do escritório: @simaoebunazaradvogados . Esperamos vocês por lá. Além do tema da locação, falaremos um pouquinho sobre essa MP, digamos, diferente que foi publicada hoje. Abraços e até mais tarde; https://www.instagram.com/p/B-xGKc_jYlY/; 242; 11]
[2020-04-06 22:21:18+00:00; profbunazar; Hoje!  As 21h30, estarei ao vivo no #jornaldarecordnews @recordnews falando sobre os efeitos da pandemia nas relações contratuais.  #damasionamidia; https://www.instagram.com/p/B-p-6j3jvKf/; 664; 20]
[2020-04-05 19:43:25+00:00; profbunazar; Bendito o que vem em nome do Senhor. Hosana nas alturas. Santo Domingo de Ramos a todos.; https://www.instagram.com/p/B-nIDRjD2jY/; 284; 18]
[2020-04-04 01:51:00+00:00; profbunazar; Com muito prazer, compartilho o texto do @jfsimao, meu amigo, meu sócio e eterno mestre. Leiam atentamente e vamos debater!! https://www.migalhas.com.br/coluna/migalhas-contratuais/323599/o-contrato-nos-tempos-da-covid-19--esquecam-a-forca-maior-e-pensem-na-base-do-negocio; https://www.instagram.com/p/B-ioh05jdn5/; 291; 5]
