[2017-12-29 12:14:04+00:00; claudioedantas; Ministério da Justiça ‘resgatou’ 57 criminosos foragidos https://t.co/d5eC8O8as9; 0; 1; 6; 0; https://twitter.com/claudioedantas/status/946715941550940162; None; None]
[2017-12-29 12:13:44+00:00; claudioedantas; Temer recua e aumenta rigor sobre trabalho escravo https://t.co/7xye1dQbJx; 1; 2; 6; 0; https://twitter.com/claudioedantas/status/946715860160405504; None; None]
[2017-12-29 11:54:34+00:00; claudioedantas; Temos 12,5 milhões de desempregados https://t.co/bQMMck3Op8; 0; 7; 13; 0; https://twitter.com/claudioedantas/status/946711034886348801; None; None]
[2017-12-29 11:53:49+00:00; claudioedantas; O candidato de Temer é Doria (2) https://t.co/jOsTO1ljLY; 0; 1; 9; 0; https://twitter.com/claudioedantas/status/946710848118116352; None; None]
[2017-12-29 11:50:38+00:00; claudioedantas; Carminha se antecipa https://t.co/Hap72fKyky; 5; 10; 20; 2; https://twitter.com/claudioedantas/status/946710046695673856; None; None]
[2017-12-29 11:06:44+00:00; claudioedantas; Lula de tornozeleira na campanha https://t.co/hOJn2KuJXR; 5; 20; 55; 2; https://twitter.com/claudioedantas/status/946698997993037825; None; None]
[2017-12-29 10:43:52+00:00; claudioedantas; Rodrigão 2018 https://t.co/h2kXUZ4gCq; 2; 1; 3; 0; https://twitter.com/claudioedantas/status/946693240970981377; None; None]
[2017-12-29 10:43:25+00:00; claudioedantas; Um terço do STJ em apoio a Gilmar https://t.co/GL6Me6zaUe; 13; 11; 19; 2; https://twitter.com/claudioedantas/status/946693131608690688; None; None]
[2017-12-29 10:43:08+00:00; claudioedantas; Alô criançada, o Lula chegou https://t.co/ZtvClsb41P; 2; 2; 7; 0; https://twitter.com/claudioedantas/status/946693057071722497; None; None]
[2017-12-29 10:42:26+00:00; claudioedantas; A candidatura do condenado https://t.co/j7kVXhbmYE; 2; 4; 15; 0; https://twitter.com/claudioedantas/status/946692881913405440; None; None]
[2017-12-29 10:41:57+00:00; claudioedantas; O candidato de Temer é Doria https://t.co/TRJlCE1wxP; 1; 5; 12; 2; https://twitter.com/claudioedantas/status/946692759792050176; None; None]
[2017-12-29 10:41:29+00:00; claudioedantas; Ex-ministro do Trabalho tentou barrar auditoria https://t.co/MjtD3ZiPhZ; 0; 2; 5; 0; https://twitter.com/claudioedantas/status/946692644369059840; None; None]
[2017-12-29 10:40:13+00:00; claudioedantas; “Cármen Lúcia agiu como guardiã da Constituição” https://t.co/ko4sVejuwF; 2; 3; 9; 0; https://twitter.com/claudioedantas/status/946692324033212417; None; None]
[2017-12-29 10:39:07+00:00; claudioedantas; O aeroporto fantasma financiado pelo BNDES https://t.co/290ulry7XH; 2; 6; 20; 0; https://twitter.com/claudioedantas/status/946692045548244994; None; None]
[2017-12-29 10:38:29+00:00; claudioedantas; O custo da farra do PT no exterior https://t.co/L12JrJ5ohu; 3; 14; 24; 3; https://twitter.com/claudioedantas/status/946691886605045760; None; None]
[2017-12-29 09:34:41+00:00; claudioedantas; Mais uma conta de Dilma e Lula para você https://t.co/3nxynZqsZh; 17; 129; 175; 7; https://twitter.com/claudioedantas/status/946675833233698816; None; None]
[2017-12-29 01:12:53+00:00; claudioedantas; Temer estuda editar novo decreto de indulto https://t.co/hGzOpRL99L; 6; 14; 23; 2; https://twitter.com/claudioedantas/status/946549551065903104; None; None]
