[2019-11-23 19:11:23+00:00; ProfBunazar; @madeiradez Discordo. Que paguem. Professor da rede pública recebe ameaça concreta rotineiramente. Ninguém está nem aí. A verbinha de gabinete dá e sobra para um mini exército; https://twitter.com/ProfBunazar/status/1198318143002816513; None; None]
[2019-11-23 19:09:06+00:00; ProfBunazar; @odeiotodocorrup TODOS!!!!! Ganham uma fortuna. Que paguem do bolso!!!; https://twitter.com/ProfBunazar/status/1198317565887614977; None; None]
[2019-11-23 19:07:09+00:00; ProfBunazar; @opropriopontes Que coisa asquerosa; https://twitter.com/ProfBunazar/status/1198317077456666626; None; None]
[2019-11-23 19:06:11+00:00; ProfBunazar; Nenhum deve ter segurança. Se quiserem, que paguem do próprio bolso. Que mania isso de achar que deputado tem de ter segurança. Professor não tem, médico não tem, fiscal não tem, por que diabos deputados devem ter? https://t.co/s1AWv4dSyX; https://twitter.com/ProfBunazar/status/1198316833222385666; None; https://twitter.com/Poder360/status/1198315658171371520]
[2019-11-23 18:57:36+00:00; ProfBunazar; @mp__machado Minha mulher adora. Eu não sou muito fã; https://twitter.com/ProfBunazar/status/1198314672203718657; None; None]
[2019-11-23 18:04:54+00:00; ProfBunazar; @pessoasales_ Está em elipse. Abraços; https://twitter.com/ProfBunazar/status/1198301409797705735; None; None]
[2019-11-23 17:42:58+00:00; ProfBunazar; Diz o homem que praticamente deu uma refinaria para a Bolívia..... https://t.co/zbyPxBp3Gp; https://twitter.com/ProfBunazar/status/1198295892459167755; None; https://twitter.com/operamundi/status/1198295545162457091]
[2019-11-23 17:28:57+00:00; ProfBunazar; Prezados, corrijam a informação. A emancipação faz cessar a incapacidade, não a menoridade https://t.co/oWvLt6q4na; https://twitter.com/ProfBunazar/status/1198292363938062342; None; https://twitter.com/TJSPoficial/status/1198291399617241089]
[2019-11-23 17:25:28+00:00; ProfBunazar; @fabrirezende43 Quem entende disso é a @AnaPaulaVolei. Não conheço as regras; https://twitter.com/ProfBunazar/status/1198291486078644225; None; None]
[2019-11-23 17:14:59+00:00; ProfBunazar; Isso, sob qualquer perspectiva, parece justo? https://t.co/yjVmZpfXqo; https://twitter.com/ProfBunazar/status/1198288850029883392; None; https://twitter.com/AnaPaulaVolei/status/1198285379696132096]
[2019-11-23 17:14:10+00:00; ProfBunazar; @AnaPaulaVolei E o pior é que muitas mulheres apoiam...eu não entendo a lógica.; https://twitter.com/ProfBunazar/status/1198288643149959180; None; None]
[2019-11-23 17:05:08+00:00; ProfBunazar; @AnaPaulaVolei Se eu não te conhecesse, acharia que é fake; https://twitter.com/ProfBunazar/status/1198286368826363904; None; None]
[2019-11-23 17:02:12+00:00; ProfBunazar; @pessoasales_ A propósito, você viu que o Huck e o Lula falaram por telefone enquanto o último voava no avião do primeiro?; https://twitter.com/ProfBunazar/status/1198285631950131200; None; None]
[2019-11-23 17:00:52+00:00; ProfBunazar; @pessoasales_ Continua sendo irrelevante. Qual a surpresa de o Bolsonaro ser armamentista?; https://twitter.com/ProfBunazar/status/1198285297613787138; None; None]
[2019-11-23 16:13:38+00:00; ProfBunazar; Que polêmica idiota. Não há mais nada rolando de importante no país? 13 foi escolhido pelo PT como homenagem ao massacre de Templários, que ocorreu em uma sexta-feira treze, sabiam disso? (Ps. Ironia, antes que os intelectuais petistas me xinguem). https://t.co/a5XrUK9TlB; https://twitter.com/ProfBunazar/status/1198273409869848580; None; https://twitter.com/folha_poder/status/1198270237969387521]
[2019-11-23 14:17:39+00:00; ProfBunazar; @HelemAzevedo 😂; https://twitter.com/ProfBunazar/status/1198244220974370816; None; None]
[2019-11-23 14:14:35+00:00; ProfBunazar; @HelemAzevedo Bambão; https://twitter.com/ProfBunazar/status/1198243449117523973; None; None]
[2019-11-23 01:46:41+00:00; ProfBunazar; @AvenaComVc Hahahaha meu Deus como eu sou previsível; https://twitter.com/ProfBunazar/status/1198055235329183744; None; None]
[2019-11-22 22:01:44+00:00; ProfBunazar; @madeiradez @MichelePradoBa :); https://twitter.com/ProfBunazar/status/1197998624967462912; None; None]
[2019-11-22 22:01:28+00:00; ProfBunazar; @profaflavia Hahahahahahahahahahah; https://twitter.com/ProfBunazar/status/1197998556986191875; None; None]
[2019-11-22 00:58:49+00:00; ProfBunazar; @maridorego @marcelaslobo @paulobaccarat @carolinedaher 😍; https://twitter.com/ProfBunazar/status/1197680800713584641; None; None]
[2019-11-22 00:54:50+00:00; ProfBunazar; @marcelaslobo @paulobaccarat @maridorego @carolinedaher Meu neném nasceu!! Estou apaixonado; https://twitter.com/ProfBunazar/status/1197679799810039808; None; None]
[2019-11-22 00:54:34+00:00; ProfBunazar; @maridorego @carolinedaher @paulobaccarat Exato!; https://twitter.com/ProfBunazar/status/1197679730608222208; None; None]
[2019-11-22 00:54:25+00:00; ProfBunazar; @carolinedaher @paulobaccarat :(; https://twitter.com/ProfBunazar/status/1197679692351971328; None; None]
[2019-11-21 23:35:06+00:00; ProfBunazar; @carolinedaher @paulobaccarat Ele é solteiro? Pretende se envolver em um relacionamento sério? Que homem!!; https://twitter.com/ProfBunazar/status/1197659733991268352; None; None]
[2019-11-21 13:42:48+00:00; ProfBunazar; @_LAERTO Hahahhahahahaha; https://twitter.com/ProfBunazar/status/1197510674886352896; None; None]
[2019-11-21 00:51:23+00:00; ProfBunazar; @carlavilhenaa É desesperador; https://twitter.com/ProfBunazar/status/1197316540640706560; None; None]
[2019-11-21 00:11:57+00:00; ProfBunazar; @renatavtenorio_ @brunocarvalho Renata, o Brasil é um dos países em que mais morrem policiais assassinados por bandidos, muitas vezes membros de organizações criminosas. Isso também é dado inegável.; https://twitter.com/ProfBunazar/status/1197306619413041152; None; None]
[2019-11-20 22:21:24+00:00; ProfBunazar; @brunocarvalho Concordo com você.; https://twitter.com/ProfBunazar/status/1197278799102201856; None; None]
[2019-11-20 21:39:44+00:00; ProfBunazar; @LucidSeeker2 Exato; https://twitter.com/ProfBunazar/status/1197268310339010566; None; None]
[2019-11-20 21:13:00+00:00; ProfBunazar; @TretaVapor 👏; https://twitter.com/ProfBunazar/status/1197261584504098817; None; None]
[2019-11-20 21:07:36+00:00; ProfBunazar; Qual o objetivo disso, alguém explica? Desperdiçar dinheiro público para homenagear um ditador. O Brasil cansa. https://t.co/xnIpP4WCKl; https://twitter.com/ProfBunazar/status/1197260224345919490; None; https://twitter.com/VEJA/status/1197259967243395073]
[2019-11-20 18:24:18+00:00; ProfBunazar; @Miltonneves JahahahahH; https://twitter.com/ProfBunazar/status/1197219128546922496; None; None]
[2019-11-20 17:44:47+00:00; ProfBunazar; @mp__machado Concordo. São uns heróis. Entregam a vida por nós; https://twitter.com/ProfBunazar/status/1197209186024742914; None; None]
[2019-11-20 17:39:08+00:00; ProfBunazar; @Claudio_PPotter Que absurdo; https://twitter.com/ProfBunazar/status/1197207765422411776; None; None]
[2019-11-20 17:23:26+00:00; ProfBunazar; @juizrafael Meu caro Rafael, isso é chocante; https://twitter.com/ProfBunazar/status/1197203814450941953; None; None]
