2019-12-10 00:29:42+00:00; miriamleitao; Compramos aqui em casa logo na primeira semana. 📚 https://t.co/6sL6AKOPIY; 22; 16; 598; 2; https://twitter.com/miriamleitao/status/1204196453268238337; None; https://twitter.com/lauraabcarvalho/status/1204072120143228928
2019-12-10 00:28:30+00:00; miriamleitao; Começando na @GloboNews o programa de @andretrig sobre a #Cop25 com @abranches e @abramovay .; 4; 1; 12; 0; https://twitter.com/miriamleitao/status/1204196151458701317; None; None
2019-12-09 14:36:32+00:00; miriamleitao; Desigualdade de renda trava o nosso avanço no Índice de Desenvolvimento Humano.  https://t.co/Zb9bsOarUR; 70; 21; 141; 4; https://twitter.com/miriamleitao/status/1204047178660007936; None; None
2019-12-09 02:13:58+00:00; miriamleitao; Viva a Finlândia @Mleitaonetto https://t.co/kRzQ0CymbR; 17; 16; 281; 0; https://twitter.com/miriamleitao/status/1203860307220815875; None; https://twitter.com/TNiskakangas/status/1203729511658995713
2019-12-09 01:42:50+00:00; miriamleitao; @educarvalholl @Mleitaonetto Brigadim; 0; 0; 1; 0; https://twitter.com/miriamleitao/status/1203852472160309248; None; None
2019-12-08 23:02:10+00:00; miriamleitao; Obrigada @Josie_Melo https://t.co/wzBkRQReG2; 2; 0; 57; 0; https://twitter.com/miriamleitao/status/1203812039472357376; None; https://twitter.com/Josie_Melo/status/1203806239253250050
2019-12-08 16:17:26+00:00; miriamleitao; Pessoas queridas de Brasília. Daqui a pouco na Leitura do Patio Brasil 👇🏽 https://t.co/Jg5hCzjw5q; 27; 8; 199; 0; https://twitter.com/miriamleitao/status/1203710184322994177; None; None
2019-12-08 14:47:27+00:00; miriamleitao; @carpinobr Tenhonetos e eles me inspiram; 0; 0; 3; 0; https://twitter.com/miriamleitao/status/1203687537585410054; None; None
2019-12-08 14:43:26+00:00; miriamleitao; Meu novo livrinho na matéria simpática do ⁦@correio⁩  https://t.co/SdpbvXr5AJ; 6; 4; 82; 0; https://twitter.com/miriamleitao/status/1203686530423889921; None; None
2019-12-08 13:41:59+00:00; miriamleitao; Que bom @FTorresVInveste https://t.co/zkQSov0Zau; 4; 0; 20; 0; https://twitter.com/miriamleitao/status/1203671062610923522; None; https://twitter.com/FTorresVInveste/status/1203665677858562048
2019-12-08 13:04:53+00:00; miriamleitao; É hoje. Domingo. Em Brasilia. Feliz da vida com meu novo livrinho. A partir das 15h. https://t.co/PG11KUA2fq; 23; 9; 252; 4; https://twitter.com/miriamleitao/status/1203661728963334144; None; None
2019-12-08 13:04:07+00:00; miriamleitao; É para provar que proteção não atrapalha o crescimento. Os dados apresentados por @paulogbarreto provam. https://t.co/ek4SGcCDaE; 13; 11; 71; 1; https://twitter.com/miriamleitao/status/1203661536188915712; None; https://twitter.com/afonsoborges/status/1203338388562206720
2019-12-07 12:30:39+00:00; miriamleitao; A coluna deste sábado o pesquisador do Imazon @paulogbarreto e o cientista Ricardo Galvão mostram que preservação leva a mais crescimento. https://t.co/WMSM4TEpns; 13; 18; 69; 2; https://twitter.com/miriamleitao/status/1203290723539279874; None; None
2019-12-07 01:37:45+00:00; miriamleitao; Mais um vídeo de ⁦@alvarogribel⁩ da série Economia é fácil https://t.co/kLlg3Y2khf; 1; 1; 20; 0; https://twitter.com/miriamleitao/status/1203126417619406848; None; None
2019-12-06 19:25:13+00:00; miriamleitao; @BrunnoMeloCBN @cbnbrasilia @carolmartinsss Muito obrigada queridos colegas; 1; 0; 5; 0; https://twitter.com/miriamleitao/status/1203032663982067713; None; None
2019-12-06 18:04:45+00:00; miriamleitao; Um resumo da semana:  https://t.co/7H77KN97Kr; 6; 3; 16; 1; https://twitter.com/miriamleitao/status/1203012415056752644; None; None
2019-12-06 12:32:05+00:00; miriamleitao; Reforma dos militares manteve benefícios e deu grande aumento de salário. Governo quis agradar as Forças Armadas, e Congresso apoiou.  A coluna: https://t.co/h1pVrcj4vS; 82; 41; 244; 14; https://twitter.com/miriamleitao/status/1202928698057461763; None; None
2019-12-06 10:50:59+00:00; miriamleitao; Coisa mais linda o meu amigo e de ⁦@SLeitaoPiano⁩ , o maestro e violinista Daniel Guedes tocando pra Nação. Olha só ⁦@luliguimaraes⁩ ⁦@Mleitaonetto⁩ ⁦@abranches⁩ ⁦@alvarogribel⁩ ⁦@MarLoureiroTor⁩  https://t.co/kbIMejTlla; 6; 4; 29; 1; https://twitter.com/miriamleitao/status/1202903255577174018; None; None
2019-12-05 17:07:29+00:00; miriamleitao; Atenção @paulogbarreto , a chamada do programa 👇🏽 https://t.co/znPfGl9rVJ; 5; 5; 51; 1; https://twitter.com/miriamleitao/status/1202635617185812481; None; https://twitter.com/miriamleitao/status/1202632845547753472
