[2020-11-29 23:45:52+00:00; RenanSantosMBL; Vídeo charmoso de análise dos resultados. Espero que gostem, corujxs!  https://t.co/GWKs9Lqu6a; 1; 1; 98; 0; https://twitter.com/RenanSantosMBL/status/1333195505611010048; None; None]
[2020-11-29 23:05:11+00:00; RenanSantosMBL; As eleições serviram pra mostrar exatamente isso. https://t.co/jLhO6yyAk0; 7; 4; 218; 1; https://twitter.com/RenanSantosMBL/status/1333185266773880837; None; https://twitter.com/aguedescartoon/status/1333185066885935104]
[2020-11-29 22:56:49+00:00; RenanSantosMBL; Os institutos de pesquisa erram na mesma intensidade da opinião dos veículos de imprensa que os contrataram. Apenas coincidência e JORNALISMO PROFISSIONAL ®.; 9; 15; 255; 0; https://twitter.com/RenanSantosMBL/status/1333183162567053312; None; None]
[2020-11-29 22:52:00+00:00; RenanSantosMBL; PT e Bolsonaro saíram humilhados das eleições.   Isso significa que estão mortos pra 22? Não. Cuidado, caro Padawan. No Brasil não existe regra de 3.; 10; 34; 566; 4; https://twitter.com/RenanSantosMBL/status/1333181947414253568; None; None]
[2020-11-29 22:49:16+00:00; RenanSantosMBL; O fato do PSOL ter chamado Covas de “ódio” — tal qual fazem com Bolsonaro — nos lembra que a esquerda NUNCA QUIS DIÁLOGO COM NINGUÉM. Quando era o PSDB no poder, chamavam FHC de fascista.; 14; 30; 464; 1; https://twitter.com/RenanSantosMBL/status/1333181259569389571; None; None]
[2020-11-29 22:20:41+00:00; RenanSantosMBL; Atenção, galera da esquerda:  Tá liberado defender a democracia venezuelana novamente!; 5; 43; 692; 1; https://twitter.com/RenanSantosMBL/status/1333174069324288002; None; None]
[2020-11-29 22:12:25+00:00; RenanSantosMBL; Tirando as piadas, é fato que o PSOL saiu gigante. Consolidou-se como o voto de opinião da elite abobada e da juventude modernete. No dia que juntarem isso a rigor fiscal, viram o partido democrata brasileiro.; 26; 36; 667; 1; https://twitter.com/RenanSantosMBL/status/1333171988597272576; None; None]
[2020-11-29 21:50:15+00:00; RenanSantosMBL; Não se comemora vitória do Covas. No máximo, zomba-se do Psol.   Mas mesmo estes saíram vencedores.; 23; 28; 518; 4; https://twitter.com/RenanSantosMBL/status/1333166408612663297; None; None]
[2020-11-29 21:16:41+00:00; RenanSantosMBL; Com o resultado das urnas, as ações da Papaiz e outras empresas de tranças e ferraduras vão despencar amanhã.; 7; 8; 281; 0; https://twitter.com/RenanSantosMBL/status/1333157959946412032; None; None]
[2020-11-29 21:06:04+00:00; RenanSantosMBL; O ódio venceu a esperança.   Ufa!; 48; 88; 1659; 20; https://twitter.com/RenanSantosMBL/status/1333155288032096261; None; None]
