[2020-11-19 15:16:20+00:00; gduvivier; Isso é um crime. Assentamento agroecológico no Rio com ameaça de despejo. Já tinham a posse desde 2014, quando foi desapropriado. 63 famílias vivem lá. https://t.co/EVATtS6PZX; 28; 397; 2832; 49; https://twitter.com/gduvivier/status/1329443395832602625; None; None] 
[2020-11-19 14:44:29+00:00; gduvivier; FIM DO RACISMO! https://t.co/Ocf2p6I6sA; 9; 19; 269; 10; https://twitter.com/gduvivier/status/1329435381675208712; None; None] 
[2020-11-19 12:59:19+00:00; gduvivier; Mesmo sem Formula 1, o pesadelo do autodromo ainda não terminou. https://t.co/FGZnWWTwm6; 6; 50; 439; 5; https://twitter.com/gduvivier/status/1329408916552364033; None; https://twitter.com/RealBetoKaz/status/1329258003434975241] 
[2020-11-18 22:33:27+00:00; gduvivier; Ibope confirmando crescimento gigante do Boulos, liderança de Marília Arraes e derrota estrondosa de Crivella. GRANDE DIA! 👍🏼; 424; 1288; 36077; 194; https://twitter.com/gduvivier/status/1329191011822817283; None; None] 
[2020-11-18 20:43:01+00:00; gduvivier; Só pra deixar claro: NÃO EXISTE “TRATAMENTO PRECOCE” contra Covid-19, como o próprio Ministério da Saúde escreveu hoje cedo, “a nossa maior ação contra o vírus é o isolamento social e a adesão das medidas de proteção individual”. 👍🏼 https://t.co/FDXCUNb1Io https://t.co/1BwS0tY2H8; 37; 136; 1197; 18; https://twitter.com/gduvivier/status/1329163222486814729; None; https://twitter.com/minsaude/status/1329160627244457987] 
[2020-11-18 17:15:18+00:00; gduvivier; Jornalistas imparciais têm falado, de cima do muro, contra o extremismo de @GuilhermeBoulos. Nunca conheci, em toda a minha vida, ninguém tão sensato, lúcido, situado tão no centro do compasso político. Boulos luta pela Constituição.  https://t.co/khpD6dtW9i; 531; 393; 5361; 201; https://twitter.com/gduvivier/status/1329110948339134468; None; None] 
[2020-11-18 16:52:33+00:00; gduvivier; Obrigado, mestre! Vindo de você... https://t.co/O5HWh22ML2; 21; 26; 707; 2; https://twitter.com/gduvivier/status/1329105222065647616; None; https://twitter.com/SergiusAugustus/status/1329069980755771392] 
[2020-11-18 14:23:42+00:00; gduvivier; @romulocarvalho_ @TeatroTablado @SuperCaruso Opa! Que orgulho do colega; 1; 0; 5; 0; https://twitter.com/gduvivier/status/1329067765643292672; None; None] 
[2020-11-18 01:35:22+00:00; gduvivier; Boa, Marina! 🎉 https://t.co/Nou1GJo6Cx; 30; 60; 5149; 4; https://twitter.com/gduvivier/status/1328874404764381187; None; https://twitter.com/MarinaSilva/status/1328719637262069763] 
[2020-11-18 00:23:17+00:00; gduvivier; @nobatoficial Querido, tem tanta razão que apaguei. Obrigado; 1; 0; 3; 0; https://twitter.com/gduvivier/status/1328856264781258752; None; None] 
