2020-12-07 23:51:56+00:00; DouglasGarcia; Conforme orientado pela Anvisa, encaminhei a mesma solicitação que fiz ao Presidente da Agência Nacional de Vigilância Sanitária (Sr Antônio Barra Torres) ao Ministério da Saúde endereçado ao Sr. Eduardo Pazuello. Existe uma ação minha na Justiça sobre este acordo com a Sinovac. https://t.co/Q6FMkpw04T; 4320; 124; 697; 50; https://twitter.com/DouglasGarcia/status/1336096133970583552; None; None
2020-12-07 23:40:06+00:00; DouglasGarcia; @Doutrinadorg É por isso que ela Nao ficará na Paulista, virá em marcha para a única instituição que tem poder para barrar João Dória: ALESP.; 183; 3; 22; 2; https://twitter.com/DouglasGarcia/status/1336093156392251393; None; None
2020-12-07 23:24:01+00:00; DouglasGarcia; Circula nos corredores da ALESP que após a pressão que vocês fizeram, amanhã às 19h00 na sessão extraordinária, pode ser que seja aprovado o requerimento de urgência do meu PDL 42 que flexibiliza a quarentena no Estado de SP e voltemos à fase verde! Todos na Av Paulista amanhã! https://t.co/oKSpOSE5mw; 10182; 247; 2125; 279; https://twitter.com/DouglasGarcia/status/1336089107395710980; None; None
2020-12-07 19:49:03+00:00; DouglasGarcia; Encaminhei hoje à Prefeitura solicitações que moradores de Parelheiros, Vargem Grande, Jardim Papai Noel e Marsilac fizeram à minha assessoria, a exemplo da necessidade de melhorias para combater enchentes, sinalização e pinturas de vias e providência sobre deslizamento de terra.; 2401; 19; 216; 6; https://twitter.com/DouglasGarcia/status/1336035010428743681; None; None
2020-12-07 18:38:53+00:00; DouglasGarcia; A imprensa inteirinha mentindo: quem autoriza a distribuição da vacina não é a Anvisa, pois a Anvisa me respondeu em documento oficial que é o Pazuello. Deixo à disposição de vocês. Hoje mesmo oficiarei o MS pedindo para que não faça isso pelas razões que já expus. https://t.co/7V99PCUEy4; 5304; 122; 1156; 98; https://twitter.com/DouglasGarcia/status/1336017353365221383; None; https://twitter.com/DouglasGarcia/status/1335982145660203009
2020-12-07 18:10:02+00:00; DouglasGarcia; @Pri091275 https://t.co/wLFUkwbtxM https://t.co/7V99PCUEy4; 4; 1; 0; 0; https://twitter.com/DouglasGarcia/status/1336010091405987844; None; https://twitter.com/DouglasGarcia/status/1335982145660203009
2020-12-07 17:55:32+00:00; DouglasGarcia; Parabéns, @ptb14 , @BobjeffHD , Dr Luiz Gustavo pela vitória contra o Batoré e o Botafogo https://t.co/uXOHf1ZY8S; 1761; 15; 191; 5; https://twitter.com/DouglasGarcia/status/1336006441925300224; None; None
2020-12-07 16:19:00+00:00; DouglasGarcia; Estou encaminhando o pedido ao Ministério da Saúde. Não sou contra a vacina, sou contra a falta de transparência e a tentativa de transformar o povo em cobaia da OMS em algo que não possui comprovação científica e feito às pressas.; 8008; 247; 984; 60; https://twitter.com/DouglasGarcia/status/1335982148118077441; None; None
2020-12-07 16:18:59+00:00; DouglasGarcia; Eu pedi a Anvisa para que não autorize a distribuição da vachina e elenquei dezenas de razões, dentre elas, a falta de transparência do acordo entre Dória e a Sinovac. A agência me respondeu dizendo que quem decide isso é o Pazuello. https://t.co/59mlQJfd5E; 12793; 792; 2370; 374; https://twitter.com/DouglasGarcia/status/1335982145660203009; None; None
2020-12-07 03:29:51+00:00; DouglasGarcia; Qualquer crítica do Bota Fogo ou Batoré contra o STF deve ser entendida como ato antidemocrático. Pedido de cassação no mesmo dia, OK?; 11859; 124; 1261; 66; https://twitter.com/DouglasGarcia/status/1335788588638875648; None; None
2020-12-07 03:20:00+00:00; DouglasGarcia; Uma preocupação a menos: Bota Fogo e Batoré não poderão se reeleger. Neste início de semana vamos concentrar nossas forças para a derrubada do Docinho. Vai ter marcha da Av Paulista até a Assembleia em dia útil para pressionarmos os deputados pessoalmente #Dia8NaPaulista https://t.co/GdU2MprGUz; 4089; 130; 943; 117; https://twitter.com/DouglasGarcia/status/1335786106076459009; None; None
2020-12-07 02:23:14+00:00; DouglasGarcia; @magsonrodrigues A eleição da Mesa Diretora é diferente: na ALESP, por exemplo, a candidatura é lançada na sessão ordinária que se dará a votação para a escolha de todos os membros. Não há como saber definitivamente quem serão todos os candidatos até minutos antes da votação.; 65; 4; 1; 0; https://twitter.com/DouglasGarcia/status/1335771821099114498; None; None
2020-12-07 02:15:06+00:00; DouglasGarcia; Forte abraço, irmão! 🇧🇷👊🏾  https://t.co/5sAsHWLEZW; 1009; 21; 46; 8; https://twitter.com/DouglasGarcia/status/1335769773767061507; None; None
2020-12-07 02:10:32+00:00; DouglasGarcia; Como tenho uma grande admiração por vc e pelo seu trabalho, adoraria  um dia ter a oportunidade de falar no seu canal sobre o andamento de processos e representações de causas conservadoras nos tribunais e a necessidade urgente dos conservadores ocuparem espaços de poder jurídico; 1352; 21; 84; 2; https://twitter.com/DouglasGarcia/status/1335768627803549697; None; None
2020-12-07 02:10:32+00:00; DouglasGarcia; O DEM não perderia a oportunidade de entrar com uma ação no STF pedindo a possibilidade de reeleição de Maia e Alcolumbre, neste sentido, uma ação pedindo a proibição desta reeleição não vale mais do que ficar na internet levantando hastag assistindo a CF ser rasgada?; 795; 5; 46; 1; https://twitter.com/DouglasGarcia/status/1335768626629124098; None; None
2020-12-07 02:10:32+00:00; DouglasGarcia; Eu deveria parar uma das minhas principais formas de trabalho, que é representar e processar, por saber que na cúpula do judiciário pode ser criada uma jurisprudência definitiva capaz de ferrar com os conservadores?; 635; 2; 34; 1; https://twitter.com/DouglasGarcia/status/1335768625458925570; None; None
2020-12-07 02:10:32+00:00; DouglasGarcia; Caso a liminar fosse acatada (não foi) e a ALESP recorresse ao STF, a culpa seria do Dep Gil Diniz? Claro que não. A maior parte das ações na justiça que eu entro, por exemplo, quem dá a última palavra é o STF. Eu deveria parar de processar esquerdista com medo do processo subir?; 670; 2; 38; 1; https://twitter.com/DouglasGarcia/status/1335768624259358722; None; None
2020-12-07 02:10:31+00:00; DouglasGarcia; Admiro demais seu trabalho, mas essa crítica não tem fundamento: em 2019 o Dep Gil Diniz ajuizou uma ação contra a reeleição do Presidente da Alesp, Cauê Macris. Todos sabemos do poder que o PSDB exerce sobre o TJ-SP, mesmo assim o Gil tentou ⬇️ https://t.co/uqVgY58tOJ; 1609; 22; 148; 8; https://twitter.com/DouglasGarcia/status/1335768622585802759; None; https://twitter.com/kimpaim/status/1335734762506350595
2020-12-06 20:50:35+00:00; DouglasGarcia; Só para lembrá-los de que terça-feira tem marcha até a Assembleia de SP: queremos a flexibilização da quarentena (PDL 42) e o impeachment de João Dória. Se você apóia, dê RT e repasse nos grupos 👍🏾 https://t.co/QHEIj5Ab5r; 6894; 151; 2038; 257; https://twitter.com/DouglasGarcia/status/1335688108415791105; None; None
2020-12-06 00:02:58+00:00; DouglasGarcia; @opropriodon Ele não vai destituir a si mesmo, a única que tem poder para derrubar as decisões do Governador ou cassar o mandato dele é a ALESP, por isso faz mais sentido cobrar o Legislativo, até porque não vamos fazer carnaval na Av Paulista: é uma MARCHA.; 21; 2; 6; 0; https://twitter.com/DouglasGarcia/status/1335374135019655168; None; None
