[2017-11-25 21:56:50+00:00; malugaspar; @cssauro infelizmente parece ser o caso; 0; 0; 0; 0; https://twitter.com/malugaspar/status/934541413789945856; None; None]
[2017-11-25 16:23:54+00:00; malugaspar; que tédio... https://t.co/ELD1TWG2sd; 1; 1; 13; 0; https://twitter.com/malugaspar/status/934457627081355264; None; https://twitter.com/Delfsnetto/status/934446324845555712]
[2017-11-24 13:21:26+00:00; malugaspar; Novos tempos: https://t.co/IOkH4U9LRc; 1; 3; 8; 1; https://twitter.com/malugaspar/status/934049320374030336; None; https://twitter.com/JornalOGlobo/status/934047702299619328]
[2017-11-24 02:58:23+00:00; malugaspar; Cabral dos guardanapos ....  e das medalhas. Delícia de texto do @robertokaz. https://t.co/3Ih5g9n65e; 0; 1; 4; 0; https://twitter.com/malugaspar/status/933892524057546752; None; None]
[2017-11-23 14:30:48+00:00; malugaspar; @antonioneto @bbcbrasil ninguém sabe nada sobre 2018 ainda. Tudo chute.; 0; 0; 0; 0; https://twitter.com/malugaspar/status/933704389365202944; None; None]
[2017-11-22 20:30:58+00:00; malugaspar; Não administra bem os negócios. Mas o país.... https://t.co/VvbOQRP4Iv; 0; 0; 1; 0; https://twitter.com/malugaspar/status/933432642225221632; None; https://twitter.com/Fahrenthold/status/933423249781862400]
[2017-11-22 18:36:45+00:00; malugaspar; @luciaguimaraes já imagino a cena, maravilhosa!; 0; 0; 0; 0; https://twitter.com/malugaspar/status/933403897619763210; None; None]
[2017-11-22 17:18:17+00:00; malugaspar; @VladimirAras não era em malas, era? Porque se for não quer dizer nada.; 0; 0; 1; 0; https://twitter.com/malugaspar/status/933384151885066240; None; None]
[2017-11-22 17:15:41+00:00; malugaspar; Que ótimo truque, hein? https://t.co/EQsERHHW1G; 1; 1; 0; 0; https://twitter.com/malugaspar/status/933383494155325443; None; https://twitter.com/luciaguimaraes/status/933367739162484737]
[2017-11-21 19:37:41+00:00; malugaspar; Saíram de Benfica de carro oficial. Na volta à PF, chegaram em carros descaracterizados. https://t.co/9ub6nAJY0M; 3; 5; 18; 0; https://twitter.com/malugaspar/status/933056842216943616; None; https://twitter.com/GloboNews/status/933055617509576704]
[2017-11-21 18:05:46+00:00; malugaspar; Até tu? https://t.co/Wvl4dULm6A; 0; 0; 1; 0; https://twitter.com/malugaspar/status/933033711880359938; None; https://twitter.com/cnnbrk/status/933031577885474816]
[2017-11-21 18:03:36+00:00; malugaspar; Medidas modernizadoras do PMDB 3 https://t.co/aWzYyZYrPj; 0; 0; 1; 0; https://twitter.com/malugaspar/status/933033164607492100; None; https://twitter.com/romerojuca/status/933031944518029312]
[2017-11-21 18:03:14+00:00; malugaspar; Medidas modernizadoras do PMDB 2 https://t.co/wEg5zF8yQl; 0; 0; 3; 0; https://twitter.com/malugaspar/status/933033073175924736; None; https://twitter.com/romerojuca/status/933031091476279299]
[2017-11-21 18:02:44+00:00; malugaspar; Medidas modernizadores do PMDB 1 https://t.co/JjAZ7iYlNM; 0; 1; 1; 0; https://twitter.com/malugaspar/status/933032949758472193; None; https://twitter.com/romerojuca/status/933030508795219969]
