2019-11-09 01:07:55+00:00; GabrielaPrioli; Não pode editar o vídeo pra descredibilizar a jornalista. https://t.co/sfXcz6kCKD; 18; 3; 0; 0; https://twitter.com/GabrielaPrioli/status/1192972048806625282; None; https://twitter.com/NatuzaNery/status/1192962952292421632
2019-11-08 22:02:00+00:00; GabrielaPrioli; 6- GARANTIA DE APLICAÇÃO DA LEI PENAL. Possibilidade de fuga do distrito da culpa é dado conducente à decretação da medida para garantir a instrução criminal e assegurar a aplicação da lei penal. (HC 101.356, HC 101.934, HC 95.159, HC 102.021, HC 98.145, HC 101.309); 10; 0; 1; 0; https://twitter.com/GabrielaPrioli/status/1192925263665016832; None; None
2019-11-08 22:00:12+00:00; GabrielaPrioli; 5- “A CONVENIÊNCIA DA INSTRUÇÃO CRIMINAL justifica a segregação preventiva, quando há fatos concretos que sinalizem a possibilidade de o paciente influir no ânimo das testemunhas e denunciantes do esquema ilícito”. (HC 91.016 e HC 84.148). Gravidade do delito (HC 137.449).; 11; 1; 1; 0; https://twitter.com/GabrielaPrioli/status/1192924810369781763; None; None
2019-11-08 21:58:33+00:00; GabrielaPrioli; 4- GARANTIA DA ORDEM ECONÔMICA: “A garantia da ordem econômica autoriza a custódia cautelar se as atividades ilícitas do grupo criminoso a que, supostamente, pertence o paciente repercutem negativamente no comércio lícito(....)” (STF, HC 91.016).; 8; 1; 1; 0; https://twitter.com/GabrielaPrioli/status/1192924395452477440; None; None
2019-11-08 21:56:36+00:00; GabrielaPrioli; 3- GARANTIA DA ORDEM PÚBLICA: risco ao meio social pela possibilidade de reiteração delitiva (HC 96.212 e 106.788), grande quantidade de droga (HC 101.719) e pertencimento a organização criminosa (HCs 101.719 e 137.449, 97.260), gravidade concreta do crime (HC 119.630); 10; 1; 1; 0; https://twitter.com/GabrielaPrioli/status/1192923903515119618; None; None
2019-11-08 21:53:10+00:00; GabrielaPrioli; 2- há quatro hipóteses de prisão preventiva: pra garantia da ordem pública, garantia da ordem econômica, conveniência da instrução criminal ou garantia de aplicação da lei penal. Vou mostrar hipóteses de todas, com precedentes do STF.; 11; 1; 2; 0; https://twitter.com/GabrielaPrioli/status/1192923039232602116; None; None
2019-11-08 21:51:43+00:00; GabrielaPrioli; Vou fazer uma sequência.... (to aprendendo agora, mas bora lá!). Dizer que o juiz não pode prender pra EXECUTAR A PENA antes do trânsito em julgado, não significa que o juiz não possa prender em nenhuma hipótese. Temos a prisão preventiva prevista no art. 312, do CPP.; 61; 5; 11; 3; https://twitter.com/GabrielaPrioli/status/1192922675481661440; None; None
2019-11-08 21:07:57+00:00; GabrielaPrioli; @kimpkat https://t.co/5u7eJzDNpe; 8; 2; 3; 0; https://twitter.com/GabrielaPrioli/status/1192911660895416320; None; None
2019-11-08 21:06:46+00:00; GabrielaPrioli; @kimpkat Kim, de duas, uma: ou você não sabe que Cunha e Cabral estão presos em virtude de prisão preventiva (e então devia se informar melhor) ou sabe que a prisão deles não será afetada por uma decisão sobre execução de pena (e então está sendo irresponsável).; 154; 10; 4; 2; https://twitter.com/GabrielaPrioli/status/1192911361581420544; None; None
2019-11-08 21:04:42+00:00; GabrielaPrioli; Kim não sabe a diferença entre prisão pra execução antecipada da pena e prisão cautelar. https://t.co/6AHCR5DP7K; 83; 9; 10; 0; https://twitter.com/GabrielaPrioli/status/1192910841483579399; None; https://twitter.com/kimpkat/status/1192904859948912641
2019-11-08 00:36:03+00:00; GabrielaPrioli; Toffoli basicamente disse que a CF não veda a prisão antes do trânsito em julgado (diferencia prisão de culpabilidade), mas que o parlamento fez isso em 2011 ao escrever no 283 do CPP que ñ pode prender antes do trânsito. Jogou a batata quente pro congresso.; 49; 1; 7; 2; https://twitter.com/GabrielaPrioli/status/1192601642421686272; None; None
2019-11-08 00:29:05+00:00; GabrielaPrioli; Toffoli acenando pro Congresso...; 11; 0; 1; 0; https://twitter.com/GabrielaPrioli/status/1192599888036540421; None; None
2019-11-07 16:13:11+00:00; GabrielaPrioli; O @augustosnunes acabou de errar de maneira injustificável. Ponto. Só resta pedir desculpa.; 53; 11; 1; 2; https://twitter.com/GabrielaPrioli/status/1192475091906506752; None; None
2019-11-07 15:25:04+00:00; GabrielaPrioli; @OvseenkoAntonov @marilizpj Eu não vou deixar de ser solidária a alguém que sofre violência pq a pessoa pode ter sido insincera. Se for assim, a pobreza de espírito do outro me contamina. Não comigo. Sigo solidária, o que não significa dizer que a apoie irrestritamente.; 2; 1; 0; 0; https://twitter.com/GabrielaPrioli/status/1192462981021491200; None; None
2019-11-07 05:54:00+00:00; GabrielaPrioli; Aproveitando que o dia tá começando (2:32h) pra sugerir no meu Instagram os vídeos sobre a prisão após confirmação da condenação em segunda instância. Garanto que facilita a compreensão da controvérsia que (não caiam na cilada) não é tão fácil de entender...; 18; 1; 1; 0; https://twitter.com/GabrielaPrioli/status/1192319269146693632; None; None
2019-11-07 05:47:53+00:00; GabrielaPrioli; O dia resumido: um homem se apequenou ao cobrar um pronome de tratamento. Mulheres se engrandeceram na união forte e solidária contra a violência. Minha solidariedade à advogada na tribuna do STF e à @joicehasselmann . Meus cumprimentos à @ManuelaDavila.; 57; 2; 3; 1; https://twitter.com/GabrielaPrioli/status/1192317729753227264; None; None
2019-11-07 05:41:10+00:00; GabrielaPrioli; @cavalcantedany Tem razão! Preciso me acostumar...; 1; 0; 0; 0; https://twitter.com/GabrielaPrioli/status/1192316037150195712; None; None
2019-11-06 04:18:53+00:00; GabrielaPrioli; E aí, galera? Eu sumo daqui, mas vez ou outra eu apareço...; 51; 10; 0; 0; https://twitter.com/GabrielaPrioli/status/1191932943612153856; None; None
2019-11-01 17:18:14+00:00; GabrielaPrioli; https://t.co/9kl3wMOqmH; 18; 5; 0; 0; https://twitter.com/GabrielaPrioli/status/1190317135324688384; None; None
2019-11-01 02:26:53+00:00; GabrielaPrioli; Já faz tempo que tão perdendo a chance de manter a boca fechada, mas hoje apelaram.; 24; 0; 0; 0; https://twitter.com/GabrielaPrioli/status/1190092820201246720; None; None
2019-09-29 04:38:39+00:00; GabrielaPrioli; Os juízes estão com medo de serem julgados por juízes? Realmente é importante a reflexão. https://t.co/xyMb3TRnWR; 26; 4; 1; 1; https://twitter.com/GabrielaPrioli/status/1178167178081837056; None; https://twitter.com/SF_Moro/status/1177967633368571904
2019-09-28 05:27:14+00:00; GabrielaPrioli; @paolla Que coisa mais fofa!; 0; 0; 0; 0; https://twitter.com/GabrielaPrioli/status/1177817017623154688; None; None
2019-09-24 16:16:51+00:00; GabrielaPrioli; Também só tem ditadura de um lado... sacaram? https://t.co/t98ePp7xb5; 11; 0; 1; 0; https://twitter.com/GabrielaPrioli/status/1176530946096619520; None; https://twitter.com/gugachacra/status/1176503142290264065
2019-09-24 15:52:12+00:00; GabrielaPrioli; Cair no conto de que só um grupo possui a verdade enquanto ideológicos são só os discursos que discordam dele é dar o aval pro autoritário. Eu sei que é tentador pensar que detém a verdade, dá uma sensação de poder, mas não sucumbam.; 11; 0; 1; 0; https://twitter.com/GabrielaPrioli/status/1176524743559831552; None; None
2019-09-24 15:50:12+00:00; GabrielaPrioli; Ideologia é o sistema de ideias sustentadas por um grupo (valores morais, religiosos, políticos, econômicos). O que ele defende é, também, uma ideologia. Não se iludam. O mundo tá aí sendo interpretado por ideologias diferentes faz tempo e é bom que seja assim.; 11; 1; 1; 0; https://twitter.com/GabrielaPrioli/status/1176524242139136001; None; None
2019-09-24 15:46:00+00:00; GabrielaPrioli; Notem o perigo desse tipo de discurso, por favor. Se você compreende que a sua visão de mundo é só uma dentre as possíveis, confere legitimidade a quem discorda de vc. Se você acha que possui a verdade, quem discorda da você, mente. Nenhuma outra ideia é possível, senão a sua.; 2; 1; 1; 0; https://twitter.com/GabrielaPrioli/status/1176523184142802945; None; None
2019-09-24 15:43:59+00:00; GabrielaPrioli; “A ideologia invadiu a alma humana para expulsar Deus” depois de falar durante vários minutos sobre a ameaça do socialismo da importância da luta contra ela? Quer dizer então que da parte dele não é ideologia, é VERDADE?; 10; 2; 2; 0; https://twitter.com/GabrielaPrioli/status/1176522674845212672; None; None
2019-09-21 22:06:44+00:00; GabrielaPrioli; Precisamos parar de matar inocentes. https://t.co/Ndwt81HtC7; 109; 3; 13; 0; https://twitter.com/GabrielaPrioli/status/1175531833292926977; None; None
