2019-04-05 17:02:07+00:00; LeoLins; A verdadeira história de Tubarão - SC Fiz esse video quase que de improviso para a cidade de Tubarão, que agora vai receber o show de sabado que seria em Capivari de Baixo. espero todos de Capivari (quem comprou... https://t.co/lxYkfnEHr4; 54; 4; 1; 0; https://twitter.com/LeoLins/status/1114211627811975169; None; None
2019-04-04 23:32:04+00:00; LeoLins; A verdadeira história de Florianópolis DOMINGO TO AI COM VCS!!! 75% ingressos vendidos vlw floripa ***link para ingresso nos comentarios*** https://t.co/4I2BNuSJX5; 45; 2; 0; 0; https://twitter.com/LeoLins/status/1113947372411813889; None; None
2019-04-03 17:28:56+00:00; LeoLins; A verdadeira história de Capivari de Baixo - SC sabado to ai com vcs, 60% ingressos vendidos, nos vemos em breve ***link para ingresso nos comentarios*** https://t.co/xbafHZuYRb; 45; 1; 0; 0; https://twitter.com/LeoLins/status/1113493599415672832; None; None
2019-04-02 14:26:31+00:00; LeoLins; Marque o seu amigo que ainda tá na dúvida.  06/04 - CAPIVARI DE BAIXO/SC  07/04 - FLORIANÓPOLIS/SP  13/04 - ITAJAÍ/SC  14/04 - JOINVILE/SC 26/04 - CACHOEIRO DE ITAPEMERIM/ES  28/04 - OSASCO/SP  3,4 e 5/5 - RIO DE JANEIRO/ GRAV. DO DVD/ https://t.co/4nMfxLPYic; 51; 18; 5; 1; https://twitter.com/LeoLins/status/1113085306687848448; None; None
2019-04-02 00:55:59+00:00; LeoLins; https://t.co/IOaBri1yJG; 15; 0; 1; 0; https://twitter.com/LeoLins/status/1112881326338838528; None; None
2019-03-30 00:54:16+00:00; LeoLins; A diferença salarial entre homens e mulheres.  PRÓXIMOS SHOWS:  06/04 - CAPIVARI DE BAIXO/ SC 07/04 - FLORIANÓPOLIS/SC https://t.co/yuQ1kX4Bev; 57; 6; 1; 0; https://twitter.com/LeoLins/status/1111793733257912320; None; None
2019-03-26 20:54:14+00:00; LeoLins; https://t.co/Npjr8Jauqk; 18; 3; 0; 0; https://twitter.com/LeoLins/status/1110646160929275909; None; None
2019-03-23 15:00:22+00:00; LeoLins; https://t.co/G9q0mUgWX8; 18; 0; 0; 0; https://twitter.com/LeoLins/status/1109469945350549506; None; None
2019-03-23 07:57:31+00:00; LeoLins; @Gustavosousa910 hahahahah; 0; 0; 0; 0; https://twitter.com/LeoLins/status/1109363531252666370; None; None
2019-03-22 01:33:44+00:00; LeoLins; @ts_furtado ja conswguimos outro local; 12; 3; 0; 0; https://twitter.com/LeoLins/status/1108904562138726402; None; None
2019-03-21 01:29:10+00:00; LeoLins; https://t.co/FwF5RInNS9; 32; 2; 0; 0; https://twitter.com/LeoLins/status/1108541025683951617; None; None
2019-03-19 17:42:20+00:00; LeoLins; A verdadeira história de Manaus DOMINGO to ai com vcs ultimos 60 ingressos p ESGOTAR ***link para ingresso nos comentários*** https://t.co/Gmb8Y7pjt3; 33; 2; 1; 0; https://twitter.com/LeoLins/status/1108061155245871106; None; None
2019-03-19 15:00:12+00:00; LeoLins; https://t.co/4DJTioXlSM; 14; 2; 0; 1; https://twitter.com/LeoLins/status/1108020350061854720; None; None
2019-03-19 14:05:07+00:00; LeoLins; https://t.co/s5yMWMd9mU; 15; 2; 1; 0; https://twitter.com/LeoLins/status/1108006487400554496; None; None
2019-03-19 00:35:27+00:00; LeoLins; https://t.co/d68c2EaIqT; 25; 0; 1; 0; https://twitter.com/LeoLins/status/1107802730205270016; None; None
2019-03-18 21:02:28+00:00; LeoLins; A verdadeira história de Santarém. SABADO to ai com vcs pela primeira vez 75% ingressos vendidos ***link para ingresso nos comentários*** https://t.co/8OL2dj7PeZ; 27; 3; 2; 0; https://twitter.com/LeoLins/status/1107749133211848705; None; None
2019-03-18 15:00:08+00:00; LeoLins; https://t.co/hAMcDSPR9G; 15; 0; 0; 0; https://twitter.com/LeoLins/status/1107657946152996865; None; None
2019-03-17 22:15:10+00:00; LeoLins; A verdadeira história de Boa Vista! SEXTA FEIRA TO AI com vcs, 85% ingressos vendidos!!!  MUITO OBIRGADO A TODOS QUE VÃO NO SHOW AO VIVO!!!!! ***link para ingresso nos comentarios*** https://t.co/9c55sm7FR3; 58; 8; 3; 0; https://twitter.com/LeoLins/status/1107405037670752257; None; None
2019-03-17 15:00:09+00:00; LeoLins; https://t.co/W2WROCx9iM; 14; 1; 2; 0; https://twitter.com/LeoLins/status/1107295561428824064; None; None
2019-03-16 23:00:09+00:00; LeoLins; https://t.co/NM7zRIFBLT; 8; 2; 0; 0; https://twitter.com/LeoLins/status/1107053969736650752; None; None
2019-03-16 23:00:08+00:00; LeoLins; https://t.co/J87pATxf8m; 13; 3; 0; 0; https://twitter.com/LeoLins/status/1107053968109289477; None; None
2019-03-16 21:00:23+00:00; LeoLins; https://t.co/wScl8r3RDp; 25; 6; 1; 0; https://twitter.com/LeoLins/status/1107023831477219329; None; None
