[2020-12-02 19:49:43+00:00; felipeneto; Ter lista de inimigos é coisa de ditador fascista.  Nós queremos q seja instaurada a CPI dos Detratores p/ investigar o gasto de R$2.7 milhões p/ monitorar jornalistas e influenciadores.  Esse dinheiro é do povo e queremos satisfação!  #CPIdosDetratores   https://t.co/k3zPN68cnE; 392; 527; 8001; 140; https://twitter.com/felipeneto/status/1334223237488783363; None; None] 
[2020-12-02 19:01:19+00:00; felipeneto; Ae mano @alokoficial - tu vai ativar super velocidade, regeneração, força ou minerar mais rápido? https://t.co/LKuNeGeHAI; 559; 301; 14251; 318; https://twitter.com/felipeneto/status/1334211057586495488; None; None] 
[2020-12-02 18:46:39+00:00; felipeneto; Galera, vou fazer o último "Felipe Neto Responde" do ano. Vou gravar já já.  Se vc quer aparecer no vídeo, mande sua pergunta agora usando a hashtag #FelipeNetoResponde  Vamos lá, último do ano, mandem perguntas porretas.; 3664; 78; 7055; 67; https://twitter.com/felipeneto/status/1334207369799196672; None; None] 
[2020-12-02 16:55:51+00:00; felipeneto; @vivigba Esse foi um belo exemplo de tweet merda da minha parte.; 41; 2; 150; 53; https://twitter.com/felipeneto/status/1334179484484972544; None; None] 
[2020-12-02 16:32:21+00:00; felipeneto; Venho refletindo exaustivamente sobre isso nos últimos dias e sobre como eu colaborei e colaboro para essa cultura tóxica q se formou no Twitter.  Essa perseguição, achincalhamento, um apedrejamento virtual, quase sempre por erros incompatíveis com a punição.; 190; 31; 3102; 64; https://twitter.com/felipeneto/status/1334173568867950593; None; None] 
[2020-12-02 16:27:03+00:00; felipeneto; O Twitter se tornou uma vitrine pra pessoas q querem subir nas costas dos outros, por qlq motivo, e dar um berro ou pagar de intelectual pra ganhar likes.  Eu não me excluo dessa crítica.  Tá cada dia pior. Todo dia um "cancelado da vez" servindo de trampolim pros caça-like.; 432; 234; 9072; 233; https://twitter.com/felipeneto/status/1334172234781515776; None; None] 
[2020-12-02 16:10:29+00:00; felipeneto; Nosso grupo nesse momento https://t.co/tB3buOCvs0; 789; 544; 23311; 507; https://twitter.com/felipeneto/status/1334168066645762048; None; None] 
[2020-12-02 15:41:30+00:00; felipeneto; 😍😍😍😍😍 https://t.co/mdKm172pYT; 111; 41; 3044; 6; https://twitter.com/felipeneto/status/1334160771438309384; None; https://twitter.com/myrefugelipe/status/1334148626029948934] 
[2020-12-02 15:24:55+00:00; felipeneto; @glow_sina @eusamantalima @SupportFeNeto @klebergalucio @eibrunocorrea @vi_marchetti @nicobururu @BrunoMozka @netolab_ Que amooooor; 19; 0; 146; 1; https://twitter.com/felipeneto/status/1334156601863917570; None; None] 
[2020-12-02 14:07:04+00:00; felipeneto; DERRAMA SENHOR DERRAMA SENHOR DERRAMA SOBRE NÓS O SEU AMOR https://t.co/P4OogxTV4y; 400; 1632; 23514; 390; https://twitter.com/felipeneto/status/1334137008944504832; None; None] 
[2020-12-02 14:05:09+00:00; felipeneto; @LuluSantos AHHAHAHAHHAHAHHA; 2; 0; 164; 0; https://twitter.com/felipeneto/status/1334136525639065600; None; None] 
[2020-12-02 05:08:12+00:00; felipeneto; O Brasil está virando Mad Max. Nem sei o que dizer mais. https://t.co/sfhwnku55M; 449; 289; 8987; 58; https://twitter.com/felipeneto/status/1334001398380425217; None; https://twitter.com/RenanPeixoto_/status/1333989842322120705] 
[2020-12-02 05:04:00+00:00; felipeneto; Eu chorei. https://t.co/iA27mE2zMF; 151; 53; 4602; 13; https://twitter.com/felipeneto/status/1334000341084491776; None; https://twitter.com/fenetolove_/status/1333568171098431488] 
