2020-10-08 17:04:22+00:00; danilogentili; Somos um programa falado em português que ultrapassou tradicionais programas falados em inglês. Estamos na madrugada e superamos programas de outras emissoras em horário nobre. Obrigado à todos que trabalham comigo, torcem à favor e obrigado à todos vocês que nos assistem :); 103119; 2454; ; ; https://www.instagram.com/p/CGFxtILnW1r/
2020-10-08 13:37:23+00:00; danilogentili; Sou fã desses baitolas aqui! Passando a pandemia quero o @fundodequintal_ofc no meu estúdio pra meter voadoras! Aliás, no dia das crianças (próxima segunda) eles farão um musical especial pra gente no The Noite!; 104389; 876; ; ; https://www.instagram.com/p/CGFZ2Q1nxvk/
2020-10-04 23:25:27+00:00; danilogentili; O @tatolagodas e o @dennysmotta ficaram me encoxando no @encrencaredetv - vou meter processo em todo mundo!; 23305; 242; ; ; https://www.instagram.com/p/CF8KItYH-_f/
2020-10-03 21:34:30+00:00; danilogentili; Parabéns ao artista que criou essa obra de arte.; 74323; 1172; ; ; https://www.instagram.com/p/CF5YpTNnmMc/
2020-10-02 21:33:47+00:00; danilogentili; Ontem foi noite de stand-up raiz no @comedysampaclub com @diogoportugal, @avivianafreitas e @murilocouto; 25250; 237; ; ; https://www.instagram.com/p/CF2zxF0nk88/
2020-10-02 16:51:13+00:00; danilogentili; Sem dúvida alguma um dos mais belos e cobiçados galãs do Brasil. E ao lado dele @caiocastro.; 188742; 2702; ; ; https://www.instagram.com/p/CF2Tbkjn855/
2020-09-24 15:30:32+00:00; danilogentili; #tbt de um golpe que rolou aí umas semanas atrás. - Vai rolar outro golpe! Confere aí nos meus stories!  filmagem: @maispix e @jeffilms; 6959; 131; ; ; https://www.instagram.com/p/CFhjjxbHpv4/
2020-09-22 01:53:42+00:00; danilogentili; Recado Importante!; 44095; 1750; ; ; https://www.instagram.com/p/CFa8v3gn3Ha/
2020-09-13 02:14:55+00:00; danilogentili; Estraguei o drive-in do @murilocouto hoje - o óculos é culpa do terçol.; 30278; 249; ; ; https://www.instagram.com/p/CFD0CwQH9pp/
2020-09-11 16:43:54+00:00; danilogentili; Corre que o Sr. Xuca tá bravo. O @diguinhocoruja se grava fazendo a Xuca e depois não aguenta.; 12326; 488; ; ; https://www.instagram.com/p/CFANzAhH3SF/
2020-09-09 23:51:24+00:00; danilogentili; Encontrei uma plataforma onde acho que terei mais liberdade, então farei umas lives por lá. Me segue lá que acho que será legal.; 41108; 762; ; ; https://www.instagram.com/p/CE71FosHRpO/
2020-09-09 01:01:03+00:00; danilogentili; Eu falo assim por acaso? Não!; 14254; 393; ; ; https://www.instagram.com/p/CE5YYgFHQAU/
2020-09-08 23:12:13+00:00; danilogentili; VÍDEO BOMBA: Vazou o @diguinhocoruja fazendo a chuca! @joaoklebersoueu , veja essa barbaridade!; 43686; 5279; ; ; https://www.instagram.com/p/CE5LlSBHIlc/
