[2020-09-04 01:57:49+00:00; danilogentili; Em 2015 eu e @diogoportugal iniciamos um negócio com um casal que, até então, era nosso amigo. O dinheiro do promissor negócio e da empresa foi desviado por eles. Ontem, finalmente, Robson Leiva Santos e sua esposa foram condenados por isso na justiça americana. Hoje, eu e @diogoportugal estamos comemorando a justiça ter sido feita \o/; https://www.instagram.com/p/CEsm7i5HORY/; 91669; 1146] 
[2020-09-02 01:46:33+00:00; danilogentili; Olha aí o @diguinhocoruja jogando Eurotruck. Carga pesada ficou leve perto disso.; https://www.instagram.com/p/CEncDVini8c/; 92506; 9406] 
[2020-08-31 23:18:17+00:00; danilogentili; Depois que eu conheci essa máscara da @insiderstore eu nem penso em usar outra - e já comprei pra minha mãe! Tenho certeza que se você ver o vídeo vai fazer o mesmo! Aproveite o cupom GENTILI10 para 10% de desconto em compras acima de R$50. . As máscaras da Insider não precisam ser trocadas nem lavadas a cada 4 horas e sua camiseta antiviral também te ajuda a ficar mais protegido sem levar contaminação para casa.  . Qualquer dúvida entrem em contato com o instagram deles: @insiderstore - valeu! #publi; https://www.instagram.com/p/CEkmM-Gn3gO/; 27559; 8435] 
[2020-08-29 22:30:33+00:00; danilogentili; Tenha uma boa noite de sábado; https://www.instagram.com/p/CEfXPJlHItT/; 66564; 1724] 
[2020-08-27 16:41:55+00:00; danilogentili; #tbt com @matheusceara e Ivy. What a day... What a lovely day!; https://www.instagram.com/p/CEZlv_MHLsV/; 183231; 1402] 
[2020-08-26 00:25:08+00:00; danilogentili; Infelizmente ser famoso tem suas desvantagens. A fofoca e calúnia são algumas delas. O Conde Manteiguinha, também conhecido como @diguinhocoruja tem usado suas “transmissões” para espalhar a falsa narrativa que eu teria engordado na quarentena. Ele posta constantemente em seu perfil no instagram montagens onde eu pareceria um leitão cevado. Por isso faço questão de postar essas fotos tiradas HOJE pelo genial @gabrielcardosofoto - não existe photoshop nas imagens. Vejam minhas medidas. Nada mal para um rapaz de 30 e poucos anos, não? Desculpem, eu não gosto de me gambar do meu corpo, eu o mantenho em forma para as garotas e não para exibir no instagram, mas perante os constantes ataques do Meatloaf de Peruca, precisei deixar aqui esse importante registro. Obrigado e boa noite.; https://www.instagram.com/p/CEVRK7BHUJD/; 132161; 2682] 
[2020-08-20 19:56:36+00:00; danilogentili; Eles dizem que é chocante e desconfortável mas é exatamente o contrário: é seguro, cômodo, rende biscoitinho de jornalista e muita publicidade capitali$ta. Qual dessas você prefere? 1, 2, 3 ou 4?; https://www.instagram.com/p/CEH6dsJnRxS/; 86943; 3383] 
[2020-08-13 02:44:23+00:00; danilogentili; Um programa porcaria desses só poderia atrair esse público desqualificado. Sinceramente, esse é o nível da mídia brasileira. Eu estou tendo problemas de retenção de líquidos devido a pandemia, e isso é um assunto sério de saúde, não deveria estar sendo levado dessa maneira leviana por esse monte de vagabundo. Seu programa é uma porcaria @diguinhocoruja; https://www.instagram.com/p/CD0Cc7KHHOH/; 16916; 733] 
[2020-08-12 17:01:23+00:00; danilogentili; Fred, Jack(son) e Túlio dos @osexterminadoresdoalem desenhado por @klebsjunior e colorido por @reinaldoroc ! Top demais! E no Halloween estréia a série no @warnerchannelbrasil; https://www.instagram.com/p/CDzADaUnU1O/; 24803; 299] 
[2020-08-10 18:30:48+00:00; danilogentili; Valeu pelo presente @renan.artes - mas você podia ter feito a rola maior. Abraços.; https://www.instagram.com/p/CDuAsg6ncPe/; 63468; 1242] 
[2020-08-07 00:25:48+00:00; danilogentili; Ação, suspense, atuações primorosas, efeitos especiais arrebatadores e muita gordofobia. Escrevi, dirigi, filmei e editei essa grande obra-prima do cinema mundial que hoje completa 13 anos. Filmado no Curuça em #santoandre - Estrelando @rogeriomorgado #tbt; https://www.instagram.com/p/CDkWJG4HCmv/; 28129; 581] 
[2020-08-06 15:50:23+00:00; danilogentili; Hoje tem @mcnegaodabl no The Noite.; https://www.instagram.com/p/CDjbKH0jMbs/; 91222; 1235] 
[2020-08-03 20:46:49+00:00; danilogentili; None; https://www.instagram.com/p/CDcOsnvH_pz/; 155027; 4948] 
[2020-08-01 20:27:18+00:00; danilogentili; Muito feliz em finalmente poder revelar uma paixão antiga. Desculpa @kleineguitar 🐷💚; https://www.instagram.com/p/CDXC4A6HwqA/; 79747; 3423] 
[2020-07-29 01:31:29+00:00; danilogentili; Foi realmente uma agradável tarde ao lado desse distinto cavalheiro. Descanse em paz, Rodrigo.; https://www.instagram.com/p/CDNSE3NHpfI/; 58228; 634] 
