2020-11-26 14:48:23+00:00; eduardomoreira; Um dado que não deram a devida atenção na pesquisa da XP Rejeição de Bolsonaro explodiu em São Paulo. Ruim/Péssimo já somam 57%, e somados ao regular batem incríveis 80% Pior leitura até hoje; 52; 379; 5292; 44; https://twitter.com/eduardomoreira/status/1331973080500015105; None; None
2020-11-26 01:25:46+00:00; eduardomoreira; Amanhã super bate papo na live! https://t.co/zyBzAc5izk; 12; 15; 301; 2; https://twitter.com/eduardomoreira/status/1331771093904973824; None; https://twitter.com/ggreenwald/status/1331748996608647169
2020-11-24 21:19:15+00:00; eduardomoreira; Só pra lembrar... Votar em Covas significa votar no PP (Maluf), MDB (Sarney), PL (Valdemar Costa Neto), DEM (Rodrigo Maia) e agora também Russomano, todos juntos na chapa e no apoio. Significa votar num vice que representa tudo que você critica de velha política  Só pra lembrar..; 81; 536; 5351; 63; https://twitter.com/eduardomoreira/status/1331346668390916096; None; None
2020-11-24 02:00:37+00:00; eduardomoreira; Esse Boulos no Roda Viva não me engana... Resposta pra tudo, sem gaguejar, encarando todas as perguntas de forma direta e honesta, projeto de governo na ponta da língua e ainda por cima simpático! Tem coisa aí, só pode...; 557; 1884; 46749; 398; https://twitter.com/eduardomoreira/status/1331055088664793089; None; None
2020-11-21 20:59:57+00:00; eduardomoreira; Quando vejo Bolsonaro fechando com Putin fico daqui imaginando o constrangimento de quem me chamou de comunista...; 94; 346; 7216; 42; https://twitter.com/eduardomoreira/status/1330254645692862466; None; None
2020-11-21 18:59:51+00:00; eduardomoreira; Tem dia que você abre o noticiário e torce para o país estar em chamas.; 26; 73; 1667; 9; https://twitter.com/eduardomoreira/status/1330224421399891969; None; None
2020-11-21 03:10:09+00:00; eduardomoreira; Maravilhoso! Verdadeiro https://t.co/UIhgtjKWmR; 18; 118; 1402; 18; https://twitter.com/eduardomoreira/status/1329985422555041792; None; https://twitter.com/GuilhermeBoulos/status/1329949957600763905
2020-11-21 01:34:58+00:00; eduardomoreira; O país que mais tempo conviveu com a escravidão nas Américas O que mais recebeu escravizados O último a abolir a escravidão  E o vice dizendo que estamos importando o racismo dos EUA Podíamos era importar a vice de lá, negra, pro lugar dele; 60; 542; 5252; 77; https://twitter.com/eduardomoreira/status/1329961470340329473; None; None
2020-11-17 16:50:52+00:00; eduardomoreira; O que a praça mais chique de São Paulo e o voto em Boulos tem a ver? https://t.co/iwKK7bTb2T; 9; 20; 239; 2; https://twitter.com/eduardomoreira/status/1328742411229671424; None; https://twitter.com/brasil247/status/1328741755588636674
2020-11-17 01:09:22+00:00; eduardomoreira; Kassab era vice, Alckmin era vice, Alberto Goldman era vice, Marcio França era vice, Bruno Covas era vice. São Paulo (cidade e estado), por ser trampolim para voos maiores, tem a tradição de ser governado por vices. Ja viram o vice do Covas? Já imaginou que horror... #ficaadica; 72; 772; 5208; 103; https://twitter.com/eduardomoreira/status/1328505476766720005; None; None
2020-11-16 01:22:37+00:00; eduardomoreira; PSDB irá com tudo pra cima do centrão depois dessas eleições. Com Bolsonaro enfraquecido e em franca queda nas pesquisas de popularidade, o centrão (que não tem candidato viável para 22) vai abrir conversa deixando as coisas ainda mais complicadas pra Bolsonaro.; 28; 32; 823; 2; https://twitter.com/eduardomoreira/status/1328146420201877505; None; None
2020-11-15 23:11:03+00:00; eduardomoreira; 4 capitais somente com “chance” de ter prefeitas. Nenhum dos prefeitos das capitais será preto. Triste e desanimador; 31; 93; 1450; 16; https://twitter.com/eduardomoreira/status/1328113313125961736; None; None
2020-11-15 23:01:06+00:00; eduardomoreira; “Bindenizamos”; 7; 4; 150; 0; https://twitter.com/eduardomoreira/status/1328110807058702336; None; None
2020-11-15 22:28:13+00:00; eduardomoreira; Mais do que nunca é fundamental ganharmos com @ManuelaDavila e @GuilhermeBoulos . Esperamos não somente total apoio de PDT, PSB, PT, PCdoB , REDE e PSOL a estas candidaturas mas seu envolvimento e busca de votos. Quem não apoiar estará colocando Moro/Doria no planalto em 2022; 146; 495; 6457; 56; https://twitter.com/eduardomoreira/status/1328102532879626242; None; None
2020-11-15 22:11:28+00:00; eduardomoreira; @1pagodin Boa eheheh; 0; 0; 12; 0; https://twitter.com/eduardomoreira/status/1328098319646789633; None; None
2020-11-15 22:04:58+00:00; eduardomoreira; Apesar da força da esquerda em algumas poucas capitais, foi o centrão que atropelou nessas eleições. 2022 não terá Bolsonaro vencedor mas não cheira nada bem... Lutemos para que isso mude; 52; 105; 2186; 26; https://twitter.com/eduardomoreira/status/1328096683729805312; None; None
2020-11-15 21:58:17+00:00; eduardomoreira; Sardenberg agora na globonews: “Em São Paulo teremos a social democracia contra a esquerda radical” Vou te contar viu...; 888; 645; 14659; 348; https://twitter.com/eduardomoreira/status/1328094998332649473; None; None
