[2017-12-28 06:44:14+00:00; Biakicis; Poucos aguentam a pressão https://t.co/BGgajexelR; 1; 0; 9; 0; https://twitter.com/Biakicis/status/946270548199444480; None; None]
[2017-12-28 06:42:54+00:00; Biakicis; Parabéns, Raquel Dodge @MPF_PGR ! https://t.co/q9XTYLkHoz; 2; 3; 12; 0; https://twitter.com/Biakicis/status/946270213867270144; None; https://twitter.com/VladimirAras/status/946168895227990017]
[2017-12-28 06:37:00+00:00; Biakicis; Ai, meu Deus, tão pequena e já do PT? https://t.co/xyeiycLH3J; 1; 3; 26; 0; https://twitter.com/Biakicis/status/946268730962665472; None; https://twitter.com/almojanta/status/945688048368578560]
[2017-12-28 06:34:07+00:00; Biakicis; É o tal insulto de Natal. Os bandidos do país perderam à cerimônia. https://t.co/gY6wVrppSx; 6; 11; 22; 0; https://twitter.com/Biakicis/status/946268002479165440; None; None]
[2017-12-28 00:37:43+00:00; Biakicis; Tenho dito gá tempos que no STF funciona um esquema de rodízio de maldades. Não entendi pq Gilmar fez questão de concentrar para si o ódio da população qd há outros bem mais perigosos dentre os capas-pretas. https://t.co/wtG6Q3bF4j; 17; 86; 170; 6; https://twitter.com/Biakicis/status/946178313114005504; None; https://twitter.com/alexandregarcia/status/946140608137220096]
[2017-12-27 15:31:19+00:00; Biakicis; Terrível! https://t.co/DQ8z363yzF; 1; 4; 13; 1; https://twitter.com/Biakicis/status/946040805525000192; None; https://twitter.com/V_of_Europe/status/945726953289584644]
[2017-12-27 15:16:36+00:00; Biakicis; Urnas eletrônicas: você confia? https://t.co/3MI9LQNyiA; 2; 16; 40; 3; https://twitter.com/Biakicis/status/946037102780788738; None; None]
[2017-12-27 01:51:42+00:00; Biakicis; Faltou a opção nenhuma das alternativas. https://t.co/R7E3cfGSlo; 2; 6; 35; 0; https://twitter.com/Biakicis/status/945834542346186754; None; https://twitter.com/TonyStarkMeta/status/945796480694177793]
[2017-12-27 01:47:33+00:00; Biakicis; A foto não é minha mas a vista é. https://t.co/yK8pI1WcRf; 2; 7; 55; 0; https://twitter.com/Biakicis/status/945833497171767297; None; None]
[2017-12-27 01:03:16+00:00; Biakicis; Que vergonha! Isso aí pode julgar alguém? Pode fazer sentença? https://t.co/U5nWUUC01W; 1; 0; 8; 0; https://twitter.com/Biakicis/status/945822352855756803; None; https://twitter.com/DGGUIRRA/status/945817473739382787]
[2017-12-26 22:00:22+00:00; Biakicis; https://t.co/gPVNCzzZea; 1; 18; 52; 0; https://twitter.com/Biakicis/status/945776327692517376; None; None]
[2017-12-26 20:04:10+00:00; Biakicis; Só mais alegre https://t.co/sODkobwnIr; 0; 3; 19; 0; https://twitter.com/Biakicis/status/945747081649709056; None; None]
[2017-12-26 20:03:43+00:00; Biakicis; Sem voto impresso, quem precisa da população? https://t.co/iS902AYPYD; 0; 14; 35; 0; https://twitter.com/Biakicis/status/945746971607928832; None; https://twitter.com/CarlosBolsonaro/status/945732745761906688]
[2017-12-26 20:02:46+00:00; Biakicis; Ignoram até a lei do voto impresso... ignorar a vontade popular é consequência. https://t.co/S443hMdLBt; 0; 9; 32; 0; https://twitter.com/Biakicis/status/945746729898561537; None; https://twitter.com/jairbolsonaro/status/945734390973370368]
[2017-12-26 20:00:07+00:00; Biakicis; É o que eu sempre digo. https://t.co/iaUDaPhcev; 0; 0; 5; 0; https://twitter.com/Biakicis/status/945746063394312194; None; None]
[2017-12-26 19:59:26+00:00; Biakicis; O mais perigoso dos 11 ministros do STF. https://t.co/Gm0iqQZZW7; 7; 14; 36; 0; https://twitter.com/Biakicis/status/945745893529128963; None; https://twitter.com/HugoAg0g0/status/945646182109499392]
[2017-12-26 18:15:03+00:00; Biakicis; Será mesmo a última? Ah, só até a próxima... https://t.co/XpJTEh1brF; 2; 5; 17; 1; https://twitter.com/Biakicis/status/945719625035239424; None; https://twitter.com/Rconstantino/status/945672994516623361]
[2017-12-26 12:54:45+00:00; Biakicis; Vai vendo... https://t.co/CEyEvALfen; 3; 9; 46; 1; https://twitter.com/Biakicis/status/945639019345514496; None; https://twitter.com/AiltonBenedito/status/945632776228917253]
[2017-12-26 12:23:44+00:00; Biakicis; O que essa foto te inspira? https://t.co/11CfK6X0MP; 19; 16; 38; 5; https://twitter.com/Biakicis/status/945631213045329920; None; None]
[2017-12-26 03:22:12+00:00; Biakicis; Federais hoje são sinônimo de vergonha! https://t.co/05F1lzJKIW; 3; 20; 54; 1; https://twitter.com/Biakicis/status/945494928704069632; None; https://twitter.com/AiltonBenedito/status/945287828220542977]
[2017-12-26 01:14:44+00:00; Biakicis; Um pedido antes da meia-noite. Concorda? Curta e dê um RT. https://t.co/OlDqZOCvts; 1; 17; 44; 1; https://twitter.com/Biakicis/status/945462850608357376; None; None]
[2017-12-26 01:01:49+00:00; Biakicis; Na Trave... https://t.co/TiZ43sgJ10; 28; 50; 97; 8; https://twitter.com/Biakicis/status/945459600375058433; None; None]
