2020-10-15 14:23:10+00:00; MarcosBotelho; A reforma afirma que todos têm o direito ao acesso às Escrituras livremente, o que a reforma não falou, é que todos têm o direito de interpretar livremente. #hermenêutica; 3; 6; 76; 0; https://twitter.com/MarcosBotelho/status/1316746440975298560; None; None
2020-10-07 21:55:35+00:00; MarcosBotelho; @JoaoGAnjos @doisdedosdeteo Fico com vc João; 2; 0; 9; 0; https://twitter.com/MarcosBotelho/status/1313961194395521024; None; None
2020-10-07 21:47:30+00:00; MarcosBotelho; Seis erros mais comuns de interpretação se você focar isoladamente em partes da Bíblia 👇🏼 https://t.co/j3Won6gHD4; 0; 0; 7; 0; https://twitter.com/MarcosBotelho/status/1313959160225189889; None; None
2020-09-30 16:25:34+00:00; MarcosBotelho; Minha boneca fez dois anos. Que Deus te abençoe meu amor e que vc cresça cada vez mais saudável e amando a Jesus. ❤️👧🏼👨‍👩‍👧‍👦 https://t.co/7i257UQIqO; 1; 0; 8; 0; https://twitter.com/MarcosBotelho/status/1311341428669177856; None; None
2020-09-25 22:06:43+00:00; MarcosBotelho; Cada fase sua eu curto como se fosse minha😍😏😜 https://t.co/4JyhsmGLDS; 0; 0; 4; 0; https://twitter.com/MarcosBotelho/status/1309615340758986752; None; None
2020-09-18 17:12:08+00:00; MarcosBotelho; Toda vez que tem um acontecimento mundial drástico, reflete em mudanças em ênfases teológicas (ex. o fim popular do pós milésimo com as guerras mundiais). Qual será a mudança teológica que o covid19 vai causar?; 8; 1; 45; 0; https://twitter.com/MarcosBotelho/status/1307004492458659849; None; None
2020-09-15 22:54:24+00:00; MarcosBotelho; @victorfontana @Renatroxa @danigrubba O chão é de água, mas a rampa fica se mexendo 😂🤣😂🤣; 0; 0; 3; 0; https://twitter.com/MarcosBotelho/status/1306003461033558016; None; None
2020-09-14 01:10:31+00:00; MarcosBotelho; Fico feliz com o resultado, mas pelo números baixo de votante (em media 800) penso que a turma que não lê tanto ficou acanhada p/ votar.  Se você responderia a opção 1 e 2 fiz um grupo no telegrama para você: https://t.co/j3Won6gHD4 https://t.co/CWsrgbUYep; 2; 0; 7; 0; https://twitter.com/MarcosBotelho/status/1305312942716485632; None; None
2020-09-13 13:33:45+00:00; MarcosBotelho; Se você respondeu a opção 1 e 2 esse grupo é para você.; 0; 0; 0; 0; https://twitter.com/MarcosBotelho/status/1305137596239147008; None; None
2020-09-13 13:32:38+00:00; MarcosBotelho; Amigos comecei um grupo no Telegram com várias dicas para como ler a Bíblia melhor com hermenêutica https://t.co/j3Won6gHD4  Os grupos de telegram não são chatos como os do WhatsApp, experimenta.; 1; 0; 4; 1; https://twitter.com/MarcosBotelho/status/1305137311991070720; None; None
2020-09-13 13:31:51+00:00; MarcosBotelho; Amigos comecei um grupo no Telegram com várias dicas para como ler a Bíblia melhor com hermenêutica https://t.co/j3Won6gHD4  Os grupos de telegram não são chatos como os do WhatsApp, experimenta.; 1; 0; 12; 0; https://twitter.com/MarcosBotelho/status/1305137116477902849; None; None
2020-09-13 12:41:03+00:00; MarcosBotelho; @victorfontana Não diria ficaram devendo, mas realmente precisa de mais.; 2; 0; 7; 0; https://twitter.com/MarcosBotelho/status/1305124330167242752; None; None
2020-09-13 12:39:51+00:00; MarcosBotelho; Qual a sua frequência na leitura bíblica?; 3; 0; 1; 0; https://twitter.com/MarcosBotelho/status/1305124028684873739; None; None
2020-09-08 21:25:00+00:00; MarcosBotelho; Ñ sou contra um pastor conversar ou até apoiar um político fora do ambiente de culto.   Mas se ASSOCIAR com alguém que foi condenado pelo Supremo Tribunal Federal, em foro SUPER privilegiado, a 7 anos prisão e multa de R$ 720mil - no mínimo diz muito sobre sua índole e ministério https://t.co/5HC6r5Jeir; 43; 57; 700; 24; https://twitter.com/MarcosBotelho/status/1303444248474324993; None; None
2020-09-07 20:47:18+00:00; MarcosBotelho; Um absurdo esse perdão, igreja série não entra em dívida com o estado. E se por acaso entrar, deve pagar em nome do estado laico. Não se enganem, esse perdão tem muito mais a ver com quadrilhas religiosas, do que com igreja de verdade https://t.co/x1xTnu72Mf; 4; 53; 335; 0; https://twitter.com/MarcosBotelho/status/1303072373705519104; None; https://twitter.com/HaddadDebochado/status/1303002264181911552
2020-09-07 12:49:53+00:00; MarcosBotelho; mais abrangentes. Tem sido difícil ser brasileiro recentemente quando uma parte da população se diz mais brasileira que a outra. Eu amo o meu país, mas só o sei amar por inteiro. . Por Vik Muniz . Deus abençoe a nossa nação e segure sua justiça nesses tempos difíceis!🙌🏼🙏🏼; 0; 1; 20; 0; https://twitter.com/MarcosBotelho/status/1302952229473746946; None; None
