[2017-12-23 11:38:41+00:00; BolsonaroSP; Diz que é comunista e adora Che Guevara, mas não vai morar em Cuba, Venezuela ou Coréia do Norte... Papai do céu está vendo hein 👀; 69; 374; 2003; 13; https://twitter.com/BolsonaroSP/status/944532710395203584; None; None]
[2017-12-23 01:26:45+00:00; BolsonaroSP; Formaram-se hoje 890 novos Sargentos da PMESP após 9 meses de curso. Motivo de honra sermos tão bem recebidos perante esses Policiais Militares e seus familiares. Certamente retribuiremos a altura! 🇧🇷👍👏 https://t.co/lRPKton3qf; 22; 179; 808; 8; https://twitter.com/BolsonaroSP/status/944378714007199749; None; None]
[2017-12-23 00:30:42+00:00; BolsonaroSP; Record TV: Rio de Janeiro perde quase R$ 1bi por ano em turismo de estrangeiros devido à falta de segurança.; 13; 115; 640; 3; https://twitter.com/BolsonaroSP/status/944364609418514432; None; None]
[2017-12-22 16:56:42+00:00; BolsonaroSP; Obrigado Luciano Bivar , Presidente do PSL, sabemos que uma boa relação se constrói dialogando 👍 https://t.co/4JbORi1Xfn; 56; 130; 703; 15; https://twitter.com/BolsonaroSP/status/944250355298299904; None; None]
[2017-12-22 15:21:48+00:00; BolsonaroSP; Pessoas reclamam que Jair Bolsonaro está de saída do PEN/Patriota, mas o querem candidato a presidência... Vai entender 🤔 https://t.co/8fkwGvAlhe; 60; 55; 364; 2; https://twitter.com/BolsonaroSP/status/944226470867689472; None; None]
[2017-12-22 15:20:55+00:00; BolsonaroSP; Pessoas reclamam que Jair Bolsonaro está de saída do PEN/Patriota, mas o querem candidato a presidência... Vai entender 🤔 https://t.co/G7cqPKdWjE; 18; 16; 165; 1; https://twitter.com/BolsonaroSP/status/944226249093894146; None; None]
[2017-12-22 15:19:30+00:00; BolsonaroSP; @jairbolsonaro é ovacionado em São Paulo-SP. https://t.co/2W40xTLPRK; 17; 145; 604; 3; https://twitter.com/BolsonaroSP/status/944225893551104000; None; None]
[2017-12-22 01:39:04+00:00; BolsonaroSP; Todos os dias estamos desarmando uma bomba e cada vez restringem mais o nosso alcance nas redes. Então quem quiser saber sobre nosso trabalho e o que pensamos terá que de fato entrar em nossos perfis para acompanhar. #foicebook; 24; 172; 834; 2; https://twitter.com/BolsonaroSP/status/944019424490770433; None; None]
[2017-12-22 01:30:50+00:00; BolsonaroSP; Tem um pessoal que só se preocupa com o ... dos outros. https://t.co/niSAWtADMP; 3; 29; 230; 1; https://twitter.com/BolsonaroSP/status/944017354329133056; None; https://twitter.com/FMouraBrasil/status/943871003955990530]
[2017-12-21 22:33:19+00:00; BolsonaroSP; Existem pessoas que só estarão ao seu lado na vitória. Nada surpreendente nisso... Segue o jogo😉👍; 41; 148; 972; 14; https://twitter.com/BolsonaroSP/status/943972678947475456; None; None]
[2017-12-21 22:09:47+00:00; BolsonaroSP; @coroneltelhada Coronel Telhada, Deputado Estadual-SP e ex-Comandante da ROTA, estará também amanhã, sexta-feira, no sambódromo do Anhembi em São Paulo para a formatura dos novos Sargentos PMESP. De quebra declara apoio a @jairbolsonaro ! 👏👍 https://t.co/0MQCnTd6wP; 1; 7; 18; 0; https://twitter.com/BolsonaroSP/status/943966755315175425; None; None]
