2019-11-17 13:39:48+00:00; antonioprata; @AndreiaSadi 👊👊👊; 6; 0; 0; 0; https://twitter.com/antonioprata/status/1196060369078407169; None; None
2019-11-17 13:32:16+00:00; antonioprata; @davidfmendes Em alguns filmes, o segundo ato inteiro, rs; 1; 1; 0; 0; https://twitter.com/antonioprata/status/1196058475140468736; None; None
2019-11-17 03:36:09+00:00; antonioprata; https://t.co/cDLbjl84jG; 68; 7; 8; 9; https://twitter.com/antonioprata/status/1195908455170813956; None; None
2019-11-17 03:04:51+00:00; antonioprata; @xenotar2 @ClaudioOtavioV1 Se vcs se derem ao trabalho (que não é trabalho nenhum, é um prazer) de ler o texto do @sergiotodoprosa perceberão que lutam contra moinhos de vento.; 1; 1; 0; 0; https://twitter.com/antonioprata/status/1195900580239159296; None; None
2019-11-16 03:55:30+00:00; antonioprata; Sérgio Rodrigues sempre brilhante. https://t.co/7htol9yzZY; 59; 7; 4; 0; https://twitter.com/antonioprata/status/1195550936950808576; None; https://twitter.com/sergiotodoprosa/status/1194960050739134464
2019-11-08 00:38:28+00:00; antonioprata; @kbradsmith Na medida do impossível, ma friend. Cheers!; 1; 0; 0; 0; https://twitter.com/antonioprata/status/1192602248486031360; None; None
2019-11-08 00:07:35+00:00; antonioprata; Deveria ser possível fechar um dia horrível antes das 24 hs regulamentares, da mesma forma que fecham a bolsa na quebradeira. Hoje merecia ter acabado antes do almoço.; 421; 14; 31; 6; https://twitter.com/antonioprata/status/1192594477166280707; None; None
2019-11-07 19:12:31+00:00; antonioprata; 🌼 https://t.co/774GxHB4wX; 116; 2; 8; 0; https://twitter.com/antonioprata/status/1192520220176461825; None; https://twitter.com/ggreenwald/status/1192507839186702337
2019-11-07 17:38:13+00:00; antonioprata; Até outro dia eu me perguntava: onde isso vai parar? Agora eu me pergunto: vai parar?; 3386; 26; 758; 35; https://twitter.com/antonioprata/status/1192496488934526985; None; None
2019-11-07 05:27:47+00:00; antonioprata; @cfialho Finasterida 1 mg!!!; 2; 0; 0; 0; https://twitter.com/antonioprata/status/1192312671003193344; None; None
2019-11-07 01:40:43+00:00; antonioprata; @SergiusAugustus @NPTO @folha Infelizmente não tem Sergio Augusto.; 11; 0; 0; 0; https://twitter.com/antonioprata/status/1192255527495127040; None; None
2019-11-05 15:36:51+00:00; antonioprata; https://t.co/0CZnLS94EQ; 25; 0; 8; 0; https://twitter.com/antonioprata/status/1191741173825757184; None; None
2019-11-05 02:57:53+00:00; antonioprata; @LeoTuel Leo, evite. Pense na sua reputação. “Lembra do Leo? Morreu. Caiu de um abacateiro na rua Groenlandia. Ruim ser lembrado assim.; 2; 1; 0; 0; https://twitter.com/antonioprata/status/1191550170036613121; None; None
2019-11-05 00:40:11+00:00; antonioprata; @LeoTuel Eu ferrei minha lombar levantando meus filhos pra pegar pitanga aqui na rua. (Depois de ferrar os joelhos saltando inutilmente umas 20 vezes...); 3; 1; 0; 0; https://twitter.com/antonioprata/status/1191515518462763012; None; None
2019-11-03 16:16:15+00:00; antonioprata; @afonsoborges 🌼; 1; 0; 0; 0; https://twitter.com/antonioprata/status/1191026312519069696; None; None
2019-10-31 22:47:20+00:00; antonioprata; Se “não há espaço para que se fale em retrocesso autoritário” é preciso punir quem criou este espaço, não? https://t.co/5semd5UJzO; 438; 5; 50; 0; https://twitter.com/antonioprata/status/1190037567670038529; None; https://twitter.com/davialcolumbre/status/1189987073035509765
2019-10-30 20:41:17+00:00; antonioprata; https://t.co/VsOLkcJY1A; 21; 4; 7; 1; https://twitter.com/antonioprata/status/1189643457561878532; None; None
2019-10-30 20:08:30+00:00; antonioprata; @earnestmarks420 Hm, não sei... 1:30?; 0; 0; 0; 0; https://twitter.com/antonioprata/status/1189635205591642112; None; None
2019-10-30 19:49:16+00:00; antonioprata; É hj, pessoal! Apareçam! https://t.co/bBqwdfk7bz; 29; 3; 1; 0; https://twitter.com/antonioprata/status/1189630368258887687; None; None
2019-10-29 17:42:38+00:00; antonioprata; #NãoSomosAlvo https://t.co/dftZZ4TEBa; 46; 1; 11; 7; https://twitter.com/antonioprata/status/1189236109815042048; None; None
2019-10-29 13:51:59+00:00; antonioprata; A 180 km/h na marcha à ré: https://t.co/PmD7mfbVQU; 58; 4; 8; 1; https://twitter.com/antonioprata/status/1189178066838290432; None; None
2019-10-28 18:41:22+00:00; antonioprata; Nesta quarta. Apareçam! https://t.co/tq8Cbj3BNS; 36; 1; 1; 0; https://twitter.com/antonioprata/status/1188888505918738432; None; None
2019-10-28 15:24:23+00:00; antonioprata; Aonde é que está escrito que se você não gosta do Macri deve obrigatoriamente gostar da Cristina Kirchner?; 428; 27; 14; 3; https://twitter.com/antonioprata/status/1188838931900653569; None; None
2019-10-17 23:12:59+00:00; antonioprata; No ritmo da desarticulação deste governo, não está longe o dia em que Jair Bolsonaro vai brigar com Jair Bolsonaro. Pensando bem, não é o que ele está fazendo desde que assumiu?; 381; 13; 27; 2; https://twitter.com/antonioprata/status/1184970594003116032; None; None
2019-10-16 04:18:20+00:00; antonioprata; @crisnaumovs Elas têm que dançar o axé, compreender o axé e aplicar o axé.; 3; 1; 0; 0; https://twitter.com/antonioprata/status/1184322660907585536; None; None
2019-10-16 02:11:50+00:00; antonioprata; Muito Adorno e pouca Ivete, os males da esquerda são.; 152; 2; 14; 0; https://twitter.com/antonioprata/status/1184290827100737538; None; None
2019-10-08 04:14:42+00:00; antonioprata; Não é verdade que a Nina Horta era uma das maiores cronistas de culinária do Brasil. Ela era uma das maiores cronistas do Brasil, ponto.; 136; 3; 4; 1; https://twitter.com/antonioprata/status/1181422643444105216; None; None
2019-10-06 15:16:42+00:00; antonioprata; Tema da maior importância neste domingo: https://t.co/LYB0uUGoXc; 42; 2; 9; 1; https://twitter.com/antonioprata/status/1180864463769149441; None; None
2019-09-26 04:33:47+00:00; antonioprata; (Inspirado no meme sobre a manchete do dia em que uma baleia der um tiro noutra: Baleia baleia baleia).; 46; 0; 1; 1; https://twitter.com/antonioprata/status/1177078789496590337; None; None
2019-09-26 04:21:08+00:00; antonioprata; “Minha seara não é o Saara, minha seara será o Ceará”. Resposta do engenheiro encarregado pelas obras para a irrigação do Vale do Cariri ao turista sudanês que por acaso passava pelo simpósio e perguntou se seria possível replicar a experiência em seu país.; 94; 2; 4; 0; https://twitter.com/antonioprata/status/1177075608901378048; None; None
2019-09-24 20:42:44+00:00; antonioprata; Quem será contra? Todo o mundo com mais de dois neurônios: https://t.co/xVTVYKosbe https://t.co/Zn6ppOCodX; 44; 0; 8; 0; https://twitter.com/antonioprata/status/1176597859208032257; None; https://twitter.com/marcofeliciano/status/1176528330763509760
2019-09-24 15:33:00+00:00; antonioprata; Pelo que eu entendi do discurso do Bolsonaro, o maior inimigo nacional é o Raoni.; 548; 40; 35; 2; https://twitter.com/antonioprata/status/1176519912417910785; None; None
2019-09-24 15:17:39+00:00; antonioprata; Bela notícia em meio a tanta tragédia: https://t.co/DSw7K3aHqE; 12; 1; 1; 0; https://twitter.com/antonioprata/status/1176516048532754434; None; None
