2020-10-16 04:35:18+00:00; iza; Mulher do ano!!!! 💖 Ainda não tô acreditando, @glamourbrasil! Me sinto muito grata por ter sido escolhida pra representar 2020, porque estamos vivendo um ano em que as mulheres, principalmente mulheres negras, tem sofrido muito. Por isso, fazer parte de uma celebração assim, ao lado de tantas mulheres inspiradoras e incríveis me deixa toda arrepiada!!!! Feliz demais! Tô aqui olhando o meu troféu de Cantora Revelação, que ganhei nessa mesma premiação em 2018, e pensando que caminho lindo nós fizemos até aqui. Muito obrigada! #WomenOfTheYear #GeraçãoGlamour2020  . . styling: @biancajahara / assist. styling: @souluanamaria / prod. moda: @alanmagomes / look: @giullier_ / jóias: @beatrizwerebe / sapato: @burberry / beleza: @mary_saavedra / cabelo: @mary_saavedra e @maiaboitrago / foto: @alexsantanaphotographer; 689689; 7370; ; ; https://www.instagram.com/p/CGZCVx1D8GC/
2020-10-16 02:31:49+00:00; iza; #TheVoiceBrasil ✨ . . beleza: @mary_saavedra / cabelo: @maiaboitrago / styling: @biancajahara / assist. styling: @souluanamaria / prod. moda: @alanmagomes / look: @lancaperfume / jóias: @beatrizwerebe / foto: @alexsantanaphotographer; 280433; 2685; ; ; https://www.instagram.com/p/CGY0NaKjeZx/
2020-10-16 01:57:04+00:00; iza; Começou a 9ª temporada do @thevoicebrasil! Vem que a gente tá te esperando pra assistir a primeira noite de audições às cegas! ✨ . . styling: @biancajahara / assist. styling: @souluanamaria / prod. moda: @alanmagomes / look: @lancaperfume / jóias: @beatrizwerebe / beleza: @mary_saavedra / cabelo: @maiaboitrago / foto: @alexsantanaphotographer; 339557; 3671; ; ; https://www.instagram.com/p/CGYwO7Fjl6g/
2020-10-11 23:04:46+00:00; iza; ✨💋✨; 289607; 1903; ; ; https://www.instagram.com/p/CGOJVYWjqqg/
2020-10-11 20:50:53+00:00; iza; Vocês sabem que eu amo batom vermelho, né? E agora só quero usar o de #HerreraBeauty, primeira linha de maquiagem de @carolinaherrera, porque tem o batom vermelho com acabamento perfeito! A linha completa é totalmente personalizável e tem pingentes pra você fazer combinações e usar como joias. Todos os produtos vem em uma seleção de cases com 10 estampas icônicas, inspiradas na história da marca. É tudo lindo demais! ♥️ Vai lá nos stories que eu mostro mais detalhes. #ad; 158315; 1081; ; ; https://www.instagram.com/p/CGN6A01Dkm8/
2020-10-10 19:51:35+00:00; iza; Prêmio #SimAIgualdadeRacial 💖 . . beleza: @mary_saavedra / cabelo: @maiaboitrago / styling: @biancajahara / assist. styling: @souluanamaria / prod. moda: @alanmagomes / look: @giullier_ / jóias: @sauer / fotos: @alexsantanaphotographer; 167116; 1076; ; ; https://www.instagram.com/p/CGLObnzDXRb/
2020-10-10 19:31:18+00:00; iza; Às 17h começa a transmissão do Prêmio #SimAIgualdadeRacial do @id_br 💖 uma iniciativa muito importante pra debater e dar visibilidade às pautas raciais. Que felicidade participar dessa celebração e me apresentar entre artistas tão incríveis! A transmissão é no @multishow, no Facebook do IDBR e na minha página do Facebook também! Não vai perder, hein? . . styling: @biancajahara / assist. styling: @souluanamaria / prod. moda: @alanmagomes / look: @giullier_ / jóias: @sauer / beleza: @mary_saavedra / cabelo: @maiaboitrago / foto: @alexsantanaphotographer; 283436; 2579; ; ; https://www.instagram.com/p/CGLMHEYjr2r/
2020-10-09 20:34:39+00:00; iza; E foi assim a coletiva do @thevoicebrasil ✨🎤✨  Ansiosa pra vocês verem tudo que a gente tá preparando! A estreia da nova temporada é na próxima quinta-feira, dia 15. . . beleza: @mary_saavedra / cabelo: @maiaboitrago e @marysaavedra / styling: @biancajahara / assist. styling: @souluanamaria / prod. moda: @alanmagomes / look completo: @burberry / jóias: @occhiobluaccessori / fotos: @alexsantanaphotographer; 607603; 7200; ; ; https://www.instagram.com/p/CGIukLODxBC/
2020-10-08 21:23:46+00:00; iza; Galera, imagine as possibilidades de ter um plano incrível e cheio de benefícios? A @TIMBrasil resolve seus problemas! Quero ver todo mundo indo lá no perfil da minha parceira TIM, pra ver tudo de bom que o TIM Controle tem pra oferecer! Fiquem ligados que a dica é boa e vou ficar de olho por aqui! 💙; 54543; 303; ; ; https://www.instagram.com/p/CGGPY-2pnZv/
2020-10-07 16:40:53+00:00; iza; Meu Deus, meus talismãs, olha que incrível!!!! Fui eleita uma das 100 pessoas negras mais influentes do mundo em 2020, segundo o Most Influential People Of African Descent (@mipad100). Essa premiação é reconhecida pela ONU e também premiou outros artistas incríveis, como meu irmão @leosantana e a maravilhosa @ingridsilva. ❤️ Receber essa honraria me deixa muito feliz, porque de certa forma mostra que eu estou no caminho certo e que meu trabalho, que tanto me alimenta, tem impactado a vida de outras pessoas também. Principalmente pessoas como eu. Deus é bom demais e estou transbordando de gratidão! Precisava compartilhar isso com vocês! Obrigada por todas as mensagens de carinho que tenho recebido. ✨🙏🏾✨ Amo vocês!!!!; 29837; 730; ; ; https://www.instagram.com/p/CGDKOPLDBxe/
