[2020-09-08 02:06:16+00:00; cristilobo; Depois de um plantão no feriado, boa noite a todos! Até amanhã!; 31; 2; 377; 0; https://twitter.com/cristilobo/status/1303152645142654976; None; None] 
[2020-09-08 01:51:19+00:00; cristilobo; @movalente @LulaOficial @GloboNews @flaviaol @NatuzaNery Desculpe Monica, mas so tratamos de candidaturas oficialmente registradas - e não de pré-candidatura, como é o caso.; 9; 0; 13; 0; https://twitter.com/cristilobo/status/1303148881170051075; None; None] 
[2020-09-03 21:06:59+00:00; cristilobo; É agora! Vamos lá! https://t.co/Jh2XzKvtqu; 14; 1; 42; 2; https://twitter.com/cristilobo/status/1301627774080299008; None; https://twitter.com/gcamarotti/status/1301627549731168256] 
[2020-09-02 22:08:05+00:00; cristilobo; @papelbaum 😘; 0; 0; 1; 0; https://twitter.com/cristilobo/status/1301280762277355520; None; None] 
[2020-08-31 22:40:30+00:00; cristilobo; @espeditocar Não mesmo! E todos os benefício previstos na legislação; 3; 0; 0; 0; https://twitter.com/cristilobo/status/1300564146795282432; None; None] 
[2020-08-31 21:07:23+00:00; cristilobo; Bora lá! Salário mínimo será de R$ 1.067. O que você acha disso? Aumento de R$ 22,00. Quase 30 milhões de aposentados recebe benefício equivalente ao mínimo. https://t.co/jPlvA6q857; 62; 14; 102; 4; https://twitter.com/cristilobo/status/1300540713470431234; None; https://twitter.com/gcamarotti/status/1300535854990057476] 
[2020-08-31 18:51:31+00:00; cristilobo; O Conselho Superior do MPF vai escolher amanhã seu vice-presidente, Em duelo os sub-procuradores Bonifácio Andrada e Alcides Martins - este, ligado a Aras. A disputa será termômetro do apoio interno a Augusto Aras. É bom ficar de olho. Escolhido substitui PGR em caso de vacância.; 7; 16; 89; 1; https://twitter.com/cristilobo/status/1300506519935619072; None; None] 
[2020-08-31 17:44:46+00:00; cristilobo; 👇🏽👇🏽👇🏽 https://t.co/k2AFsfJKYN; 11; 3; 51; 1; https://twitter.com/cristilobo/status/1300489722976927744; None; https://twitter.com/claudiocastroRJ/status/1300464741429719040] 
[2020-08-31 17:43:57+00:00; cristilobo; É importante ter acesso a vacina. https://t.co/QVemDjLAuy; 6; 4; 48; 0; https://twitter.com/cristilobo/status/1300489515178618881; None; https://twitter.com/JamilChade/status/1300487705944625152] 
[2020-08-29 14:12:52+00:00; cristilobo; Incêndio controlado no Hospital Santa Luzia. Teve início na casa de máquinas.  Vai lá na @GloboNews; 16; 6; 161; 1; https://twitter.com/cristilobo/status/1299711621732995072; None; None] 
[2020-08-29 14:10:10+00:00; cristilobo; A @Globonews mostra ao vivo incêndio no Hospital Santa Luzia, em Brasília. E, agora, o atendimento aos pacientes internados sendo retirados e, felizmente, o incêndio começa a ser controlado - com ajuda de bombeiros, policiais, médicos, acompanhantes. A vida não está fácil,; 69; 42; 674; 6; https://twitter.com/cristilobo/status/1299710942180245509; None; None] 
[2020-08-29 00:58:58+00:00; cristilobo; Pensando aqui nos principais assuntos da semana, acho que o afastamento do gov Witzel (mais um governador do Rio enrolado na corrupção); a cobrança de Bolsonaro a Guedes por mais dinheiro para transição do auxílio emergencial, sem  deixar de lado o escabroso caso Flordelis.; 74; 23; 337; 5; https://twitter.com/cristilobo/status/1299511829941628935; None; None] 
[2020-08-29 00:28:11+00:00; cristilobo; Ela é demais!!! https://t.co/7xixgW8iNi; 9; 3; 106; 1; https://twitter.com/cristilobo/status/1299504082370080773; None; https://twitter.com/beltraomaria/status/1299460965747093507] 
[2020-08-29 00:26:51+00:00; cristilobo; Daqui a pouco, vamos para o #Jdez com o @gcamarotti , Merval Pereira, @julianarosa_  e euzinha... sob a batuta do @heraldopereira . Assunto não falta!; 64; 6; 156; 1; https://twitter.com/cristilobo/status/1299503746930671617; None; None] 
[2020-08-28 20:00:07+00:00; cristilobo; @thalitaferreira @NatuzaNery Você é uma querida...; 1; 0; 1; 0; https://twitter.com/cristilobo/status/1299436621318758400; None; None] 
[2020-08-28 16:04:01+00:00; cristilobo; O afastamento do gov Witzel determinado pela Justiça por conta de desvio de dinheiro público mostra como o Rio está sendo castigado por uma sucessão de corruptos no comando do Estado - que envolve poderes estaduais. Licença Caetano: "podres poderes".; 69; 26; 463; 4; https://twitter.com/cristilobo/status/1299377205357809664; None; None] 
[2020-08-27 00:02:10+00:00; cristilobo; Visão de casa. https://t.co/UFv0SN630m; 39; 5; 339; 2; https://twitter.com/cristilobo/status/1298772759649103872; None; None] 
