2020-08-05 22:24:07+00:00; marceloadnet0; Qual sua cortina de fumaça favorita? #SintaSeEmCasa completo no @globoplay e no link na página inicial do perfil; 35655; 2181; ; ; https://www.instagram.com/p/CDhjTaVB0Is/
2020-08-04 22:28:51+00:00; marceloadnet0; Qual seu movimento preferido? Para ver o episódio completo e grátis, tem o link na página inicial #SintaSeEmCasa; 31184; 2204; ; ; https://www.instagram.com/p/CDe_DKKBGug/
2020-08-03 23:57:13+00:00; marceloadnet0; Lula e Bolsonaro surpreendidos pela chegada de Moro. Narração de Marina Silva. Quem será o próximo ex ministro? #SintaSeEmCasa programa completo no @globoplay; 46747; 4218; ; ; https://www.instagram.com/p/CDckUV2htEk/
2020-08-01 00:23:20+00:00; marceloadnet0; Inventa Tudo Por Dinheiro Programa completo e grátis no @globoplay link na bio; 17819; 693; ; ; https://www.instagram.com/p/CDU48XjB09q/
2020-07-30 22:03:36+00:00; marceloadnet0; Episódio completo e grátis no @globoplay; 41433; 2313; ; ; https://www.instagram.com/p/CDSEGVNh40n/
2020-07-30 00:13:10+00:00; marceloadnet0; No programa de número 78 anunciamos que dia 7/8 VAI TER LIVE DO @caetanoveloso no @globoplay SIM! Valeu @paulalavigne pela insistência; 30635; 1853; ; ; https://www.instagram.com/p/CDPuK-0BuZ0/
2020-07-28 22:58:46+00:00; marceloadnet0; Hoje não deu pra fazer graça, mas refletir e oferecer essa simples e otimista canção ao nosso querido RR! #SintaSeEmCasa completo no @globoplay; 45485; 2229; ; ; https://www.instagram.com/p/CDNA3GYhxIe/
2020-07-27 22:41:24+00:00; marceloadnet0; Polícia musical faz intervenção em live de pagode! Episódio completo no @globoplay Link na página inicial; 37668; 2099; ; ; https://www.instagram.com/p/CDKVUDpBCGH/
2020-07-24 22:41:51+00:00; marceloadnet0; Clipe, Militante e Brizola completos no link na página inicial @globoplay; 30512; 1447; ; ; https://www.instagram.com/p/CDCrruFBOp2/
2020-07-23 23:56:14+00:00; marceloadnet0; Episódio completo, link na bio; 20827; 1409; ; ; https://www.instagram.com/p/CDAPlKbh09s/
2020-07-22 23:02:09+00:00; marceloadnet0; #SintaSeEmCasa completo daqui a pouquinho no @globoplay link na bio; 36048; 3678; ; ; https://www.instagram.com/p/CC9kcw5h57a/
2020-07-21 21:35:52+00:00; marceloadnet0; Sentiu a emoção, Tino. 70 anos de @galvaobueno no #SintaSeEmCasa com participação do Cartola.; 22582; 807; ; ; https://www.instagram.com/p/CC6105NBmjU/
2020-07-20 22:16:16+00:00; marceloadnet0; No #SintaSeEmCasa de hoje Jair e os CACs  Ep completo na página inicial; 17512; 643; ; ; https://www.instagram.com/p/CC4VpAOB1vP/
2020-07-18 20:26:59+00:00; marceloadnet0; Link do programa de ontem completo na página inicial do perfil #SintaSeEmCasa; 34022; 2091; ; ; https://www.instagram.com/p/CCy_oMlh2ae/
2020-07-18 18:02:15+00:00; marceloadnet0; Nesta segunda-feira se inicia uma caminha rumo ao imenso desconhecido que será o próximo carnaval. Sem pressa, nosso enredo é eterno, embora imprescindível nos dias de hoje. Depois de homenagear a Madrinha Beth Carvalho, segunda às 20h estreio como carnavalesco ao lado do amigo talentoso demais @ricardohessez Vamos juntos na apresentação deste enredo que representa todas as cores e torcidas. Nos vemos lá na página oficial do face da @botafogosambaclube ⭐️🖤; 2299; 44; ; ; https://www.instagram.com/p/CCyvJUBhHxE/
2020-07-17 22:02:10+00:00; marceloadnet0; Live do Queiroz no #SintaSeEmCasa de hoje @weldermm; 51539; 3289; ; ; https://www.instagram.com/p/CCwlwJxBl1L/
2020-07-16 23:23:08+00:00; marceloadnet0; #SintaSeEmCasa de hoje completo no link na página inicial; 46521; 2875; ; ; https://www.instagram.com/p/CCuKKAbhFSC/
2020-07-16 22:54:36+00:00; marceloadnet0; No #SintaSeEmCasa de hoje tem mercha do Jair!; 18956; 506; ; ; https://www.instagram.com/p/CCuG8DgheyK/
2020-07-15 23:13:26+00:00; marceloadnet0; ; 24051; 874; ; ; https://www.instagram.com/p/CCrkPSwB4sf/
2020-07-14 22:29:21+00:00; marceloadnet0; Episódio completo e grátis, no @globoplay  link na página inicial; 30694; 1493; ; ; https://www.instagram.com/p/CCo6cxVhsUe/
2020-07-13 22:26:03+00:00; marceloadnet0; Os ministros Mário e Milton; 25880; 1096; ; ; https://www.instagram.com/p/CCmVHiThD-L/
